source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Ablative,United States,430506,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Acellular Dermal Matrix,United States,8354,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Allograft Adipose Matrix,United States,11280,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Botulinum Toxin Type A (Botox™, Dysport™, Xeomin™)",United States,4401536,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Calcium hydroxylapatite (Radiesse™),United States,201474,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Cellulite treatment (Velosmooth, Endermology)",United States,86350,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Chemical peel,United States,931473,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Fat-face,United States,133720,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Hyaluronic acid (Juvederm Ultra™, Juvederm Ultra Plus™, Perlane™, Restylane™, Belotero™)",United States,2619650,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Injection lipolysis (e.g., Kybella™)",United States,135586,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Intense Pulsed Light (IPL) treatment,United States,827409,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser hair removal,United States,757808,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser skin resurfacing,United States,997245,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser tattoo removal,United States,199945,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
