queue_id,priority,company_id,company,stock_code,ownership,status,revenue_usd_m,revenue_year,gross_margin_pct,market_cap_usd_m,financial_review_status,financial_source_url,issue_type,expected_source,suggested_action,generated_at
aesthetics-revenue-001,P1,co_1e1e1b7d3b6d,Aspen Pharmacare,APN.JSE,Public,Active,2636.47,2025,44.11,3681.25,valuation_missing_price_only,https://query1.finance.yahoo.com/v8/finance/chart/APN.JO?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-002,P1,co_3e66a07fd5fd,Daewoong,KRX:069620,Public,Active,1099.62,2025,52.36,1084.93,pending_collection,https://www.daewoong.co.kr/eng/ir/disclosure.php,missing_aesthetics_revenue_pct,Company annual report or investor-relations segment disclosure.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-003,P1,co_2d09d05893cd,Galderma,SIX:GALD,Public,Active,4359,2024,74,48412.45,manual_pending_verification,https://www.galderma.com/investors,missing_aesthetics_revenue_pct,Company annual report or investor-relations segment disclosure.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-004,P1,co_100e7fd504d3,Halozyme Therapeutics,NASDAQ:HALO,Public,Active,1396.61,2025,0.44,8413.22,official_sec_xbrl_auto,https://data.sec.gov/api/xbrl/companyfacts/CIK0001159036.json,missing_aesthetics_revenue_pct,Annual filing segment footnotes and MD&A; SEC XBRL total revenue is not enough.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-005,P1,co_76db60d04479,Ipsen Pharma,IPN.PA,Public,Active,4559.84,2025,80.89,15852.17,pending_collection,https://www.ipsen.com/investor-relations/,missing_aesthetics_revenue_pct,Company annual report or investor-relations segment disclosure.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-006,P1,co_a133809740b7,Johnson & Johnson,NASDAQ:JNJ,Public,Active,94193,2025,67.88,539842.46,official_sec_xbrl_auto,https://data.sec.gov/api/xbrl/companyfacts/CIK0000200406.json,missing_aesthetics_revenue_pct,Annual filing segment footnotes and MD&A; SEC XBRL total revenue is not enough.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-007,P1,co_314282d4909e,Kaneka Corporation,4118.T,Public,Active,5085.36,2025,27.95,1964.25,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/4118.T?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-008,P1,co_e88e88c84032,L'Oréal,OR.PA,Public,Active,51122.35,2025,74.32,222238.52,pending_collection,https://www.loreal-finance.com/en/annual-report-2024,missing_aesthetics_revenue_pct,Company annual report or investor-relations segment disclosure.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-009,P1,co_d6440f82a9a2,LG Chem,KRX:051910,Public,Active,32152.52,2025,17,17218.33,valuation_missing_price_only,https://query1.finance.yahoo.com/v8/finance/chart/051910.KQ?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-010,P1,co_facd9a6ad8cf,Samyang Holdings,KRX:000070,Public,Active,2343.8,2025,17.35,312.47,valuation_missing_price_only,https://query1.finance.yahoo.com/v8/finance/chart/000070.KQ?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-011,P2,co_b8193aa0cc96,BenQ,8215.TW,Public,Active,567.5,2025,14.45,274.05,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/8215.TW?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-012,P2,co_5b54a3e28f4c,Dongkook Pharma,KRX:086450,Public,Active,648.82,2025,54.12,644.02,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/086450.KQ?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-013,P2,co_9ebcc3762c46,El.En.,ELN.MI,Public,Active,685.68,2025,42.94,1293.02,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/ELN.MI?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-014,P2,co_c621592aac90,Lumibird,LBIRD.PA,Public,Active,265.21,2025,63.99,590.33,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/LBIRD.PA?range=5d&interval=1d,missing_aesthetics_revenue_pct,Company annual report or investor-relations segment disclosure.,"Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-015,P3,co_8264aaca4586,BNC Korea,KRX:256840,Public,Active,67.13,2025,41.06,161.78,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/256840.KQ?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-016,P3,co_2e4d3c90fc97,BioElectronics,OTC:BIEL,Public,Active,unavailable_verified,unavailable_verified,,9.88,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/BIEL?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-017,P3,co_5d4b35b57193,Humedix,KOSDAQ:200670,Public,Active,73,2026,,207.7,pending_live_fetch,https://query1.finance.yahoo.com/v8/finance/chart/200670.KQ?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-018,P3,co_0795c0f3f22e,Julphar,JULPHAR,Public,Active,unavailable_verified,unavailable_verified,,unavailable_verified,valuation_fetch_failed,https://finance.yahoo.com/quote/JULPHAR/financials/,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-019,P3,co_f1444f50d0fc,Maxigen Biotech / MBI,1783.TWO,Public,Active,25.81,2025,69.46,109.49,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/1783.TW?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-020,P3,co_11eac4967d16,Meta Biomed,KRX:059210,Public,Active,72.07,2025,52.06,72.05,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/059210.KQ?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
aesthetics-revenue-021,P3,co_93f3d88be68a,SciVision Biotech,1786.TW,Public,Active,28.19,2025,72,129.08,price_refreshed_valuation_carried_forward,https://query1.finance.yahoo.com/v8/finance/chart/1786.TW?range=5d&interval=1d,missing_aesthetics_revenue_pct,"Company annual report, investor deck, or explicit not-disclosed review.","Collect aesthetics-specific revenue share from segment disclosure, or mark not_disclosed/unavailable_verified; do not infer from total revenue alone.",2026-06-16T16:30:07+08:00
