company,candidate_product_or_family,source_count,source_types,source_domains,confidence_mix,sample_url,review_status
Gold Collagen,Gold Collagen,139,official_website_master; product_specification_evidence,beautyethic.com; faq.gold-collagen.com; gold-collagen.com; gold-collagen.in,official_site_spec_candidate:90; official_domain_candidate:24; official_search_excerpt_spec_candidate:24; company_official_search_candidate:1,https://beautyethic.com/ar/pages/gold-collagen,candidate
Novartis,Cosentyx,116,official_website_master; product_specification_evidence,accessdata.fda.gov; cosentyx.com; dhpp.hpfb-dgpsa.ca; ec.europa.eu; ema.europa.eu; novartis.com; novartis.us; pro.novartis.com; prod.pro.novartis.com,official_site_spec_candidate:57; official_search_excerpt_spec_candidate:40; official_domain_candidate:11; product_official_search_candidate:4,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/761349Orig1s007lbl.pdf,candidate
Melsmon Pharmaceutical,Melsmon,97,official_website_master; product_specification_evidence,abchealthonline.com; aesthacares.com; bellepharm.com; bio-japan.net; eleglobals.com; ellepharm.com; fillersfairy.com; haruskin.com; image.packageinsert.jp; isla-med.com; korean-surgery.com; koreanaesthetic.com; luxbio.net; medifella.com; medixlife.com; melsmon.co.kr; melsmon.ru; mjsmedicals.com; skincareplaza.com; slmedibeauty.com,official_search_excerpt_spec_candidate:61; official_site_spec_candidate:13; company_official_search_candidate:11; product_official_search_candidate:8,https://abchealthonline.com/6592280-melsmon-instructions-for-use-of-the-drug-reviews-price-analogues,candidate
Ubio Biotechnology,Olidia,83,official_website_master; product_specification_evidence,bionicsgroup.com; bioresus.com; e-biostimulators.com; ec21.com; fusionfills.com; ibeautymachine.com; luxbio.net; medifella.com; mjsmedicals.com; pllakorea.com; prplifescience.co.kr; teleta.co.uk,official_search_excerpt_spec_candidate:58; official_site_spec_candidate:13; product_official_search_candidate:9; secondary_source_crosscheck:3,https://www.bionicsgroup.com/olidia-collagen-stimulator/,candidate
Biocyte,Collagen Express,77,official_website_master; product_specification_evidence,biocyte.com; biocyte.com.vn; cosmetis.com; duoctaman.com; farmaciadaliga.pt; france-health.com; mypharma.vn; pharmashopdiscount.com; soin-et-nature.com,official_site_spec_candidate:36; official_search_excerpt_spec_candidate:27; official_domain_candidate:7; secondary_source_crosscheck:5,https://www.biocyte.com/products/beauty-box,candidate
Alta Care,Altaflora,66,official_website_master; product_specification_evidence,altacarelaboratoires.com; igpharmacy.com; megateksa.com; shop.altacare.com; yumpu.com,official_search_excerpt_spec_candidate:46; official_site_spec_candidate:9; official_domain_candidate:8; brand_official_search_candidate:1,https://www.altacarelaboratoires.com/collections,candidate
Biocyte,Keratine Forte,63,official_website_master; product_specification_evidence,bioax.fr; biocyte.com; boxofcolor.com; skinlovers.com,official_site_spec_candidate:41; official_domain_candidate:11; official_search_excerpt_spec_candidate:8; secondary_source_crosscheck:2,https://bioax.fr/en/wellness/22671keratine-forte-full-spectrum-120-gelules-biocyte-3770008244078.html,candidate
Kylane,MaiLi / Kysense,63,official_website_master; product_specification_evidence,aestheticmed.co.uk; bestaestheticsbenelux.com; circaskin.com; filler-france.com; isrctn.com; kylane.com; maili.com; mdpi.com; pillolastore.com; sinclair.com,official_search_excerpt_spec_candidate:38; official_site_spec_candidate:11; product_official_search_candidate:8; product_official_domain_candidate:4,https://aestheticmed.co.uk/kysense-ha-dermal-filler-brand,candidate
Galderma,Mirvaso,60,official_website_master; product_specification_evidence,accessdata.fda.gov; dailymed.nlm.nih.gov; drugs.com; ec.europa.eu; ema.europa.eu; galderma.com; hpra.ie; medicines.org.uk; tga.gov.au,official_search_excerpt_spec_candidate:26; official_site_spec_candidate:22; product_official_search_candidate:10; brand_official_search_candidate:1,https://www.accessdata.fda.gov/drugsatfda_docs/label/2013/204708lbl.pdf,candidate
Japan Bio Products / JBP,Laennec / Curacen,59,official_website_master; product_specification_evidence,jbp.placenta.co.jp; jbpcn.placenta.co.jp; jbpglobal.placenta.co.jp; jbpglobalusa.com,official_search_excerpt_spec_candidate:40; official_site_spec_candidate:9; product_official_search_candidate:7; secondary_source_crosscheck:1,https://jbp.placenta.co.jp/about/,candidate
OEO Firenze,OEO,56,official_website_master; product_specification_evidence,oeofirenze.com; oeofirenze.it,official_search_excerpt_spec_candidate:27; official_domain_candidate:16; official_site_spec_candidate:13,https://oeofirenze.com/,candidate
Revance Therapeutics,SkinPen,55,official_website_master; product_specification_evidence,accessdata.fda.gov; accessgudid.nlm.nih.gov; bellusmedical.com; crownaesthetics.com; crownlaboratories.com; prnewswire.com; revance.com; skinpen.com; skinpenuk.com,official_search_excerpt_spec_candidate:25; official_site_spec_candidate:12; product_official_domain_candidate:7; product_official_search_candidate:6,https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202243.pdf,candidate
Osteopore,Osteopore,54,official_website_master; product_specification_evidence,accessgudid.nlm.nih.gov; certipedia.com; osteopore.com; tga.gov.au,official_search_excerpt_spec_candidate:34; official_domain_candidate:16; product_official_search_candidate:2; company_official_search_candidate:1,https://accessgudid.nlm.nih.gov/devices/08885013200119,candidate
