company,stock_code,changed_fields,field_sources,candidate_sources,checked_at
Galderma,SIX:GALD,Market_Cap_Date;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics""}",listed_company_batch;manual_non_us_financial_metrics;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
InMode,NASDAQ:INMD,Market_Cap_Date;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
Allergan,NASDAQ:ABBV,Market_Cap_Date;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
Wontech,KRX:216280,Market_Captured_At;Market_Refreshed_At,"{""Market_Captured_At"": ""market_snapshot_live"", ""Market_Refreshed_At"": ""market_snapshot_live""}",listed_company_batch;market_snapshot_live;market_valuation_rank,2026-06-15T08:18:03+08:00
Cutera,NASDAQ:CUTR,Market_Cap_Date;Market_Captured_At;Market_Refreshed_At;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics"", ""Market_Captured_At"": ""market_snapshot_live"", ""Market_Refreshed_At"": ""market_snapshot_live""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
Venus Concept,NASDAQ:VERO,Market_Cap_Date;Market_Captured_At;Market_Refreshed_At;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics"", ""Market_Captured_At"": ""market_snapshot_live"", ""Market_Refreshed_At"": ""market_snapshot_live""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
Beauty Health,NASDAQ:SKIN,Market_Cap_Date;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
Solta Medical,NASDAQ:BHC,Market_Cap_Date;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
EndyMed Medical,ENDY.TA,Market_Captured_At;Market_Refreshed_At,"{""Market_Captured_At"": ""market_snapshot_live"", ""Market_Refreshed_At"": ""market_snapshot_live""}",listed_company_batch;market_snapshot_live;market_valuation_rank,2026-06-15T08:18:03+08:00
Revance Therapeutics,Former NASDAQ:RVNC,Market_Captured_At;Market_Refreshed_At,"{""Market_Captured_At"": ""market_snapshot_live"", ""Market_Refreshed_At"": ""market_snapshot_live""}",listed_company_batch;market_snapshot_live;market_valuation_rank,2026-06-15T08:18:03+08:00
Apyx Medical,NASDAQ:APYX,Market_Cap_Date;Financial_Refreshed_At,"{""Financial_Refreshed_At"": ""sec_financial_metrics"", ""Market_Cap_Date"": ""sec_financial_metrics""}",listed_company_batch;market_snapshot_live;market_valuation_rank;sec_financial_metrics,2026-06-15T08:18:03+08:00
