company_id,company,listed_entity_name,stock_code,exchange,ticker_symbol,listing_country,sec_cik,current_revenue_usd_m,current_revenue_year,current_gross_margin_pct,current_source_url,operational_status,responsible_module,plan_id,query,expected_source,next_action,generated_at
co_9a82bf01c9b2,Across,Hugel,KRX:145020,KRX,145020,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_207e8eb833b5,Hugel KRX:145020 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_bbabeba3ee10,Asclepion,El.En.,ELN.MI,BORSA ITALIANA,ELN.MI,IT,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_632165a82ab9,El.En. ELN.MI BORSA ITALIANA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_f8a69fb5e02a,Asclepion Laser,El.En.,ELN.MI,BORSA ITALIANA,ELN.MI,IT,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_54442bc9e0f9,El.En. ELN.MI BORSA ITALIANA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_1e1e1b7d3b6d,Aspen Pharmacare,Aspen Pharmacare,APN.JSE,JSE,APN.JSE,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_937d9041c331,"""Aspen Pharmacare"" APN.JSE JSE investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
,Bayer,Bayer,BAYN (XETRA),,BAYN (XETRA),,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,,,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_b8193aa0cc96,BenQ,BenQ,8215.TW,TW,8215.TW,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_62491196c9ab,BenQ 8215.TW TW investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_2e4d3c90fc97,BioElectronics,BioElectronics,OTC:BIEL,OTC,BIEL,,0001320869,,,,,ready_to_collect,sec_xbrl_collector,cosplan_8ba7023a11cb,BioElectronics OTC:BIEL OTC investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_6dbf5a3b4e4d,BioPlus,BioPlus,KRX:099430,KRX,099430,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_5f67aefffa0b,BioPlus KRX:099430 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_8264aaca4586,BNC Korea,BNC Korea,KRX:256840,KRX,256840,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_debba987bc48,"""BNC Korea"" KRX:256840 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_6925fca65df2,Cha Meditech,Cha Meditech,KRX:085660,KRX,085660,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_c9d418efda05,"""Cha Meditech"" KRX:085660 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_128cffac9aff,Cocoon Medical,Huadong Medicine,000963.SZ,SZSE,000963.SZ,CN,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_22cfe0cf8cd9,"""Huadong Medicine"" 000963.SZ SZSE investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_0bb8193c1281,DEKA,El.En.,ELN.MI,BORSA ITALIANA,ELN.MI,IT,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_2c17886fba67,El.En. ELN.MI BORSA ITALIANA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_5b54a3e28f4c,Dongkook Pharma,Dongkook Pharma,KRX:086450,KRX,086450,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_7666439de9cf,"""Dongkook Pharma"" KRX:086450 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_9ebcc3762c46,El.En.,El.En.,ELN.MI,BORSA ITALIANA,ELN.MI,IT,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_dcbb403b66b3,El.En. ELN.MI BORSA ITALIANA investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_c87804d7fff0,EndyMed Medical,EndyMed Medical,ENDY.TA,TA,ENDY.TA,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,cosplan_9dfa7fca4416,"""EndyMed Medical"" ENDY.TA TA investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
,Fagron Genomics,Fagron Genomics,FAGR.BR,BR,FAGR.BR,,,,,,,ready_to_collect,official_ir_or_exchange_filing_collector,,,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_2d09d05893cd,Galderma,Galderma,SIX:GALD,SIX,GALD,CH,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_216407cf96d3,Galderma SIX:GALD SIX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_e655b002cb74,GTG Wellness,GTG Wellness,KRX:219750,KRX,219750,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_4baaefeab127,"""GTG Wellness"" KRX:219750 KRX investor relations annual report official filing",Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
co_df6b67e82dc5,HansBiomed.,HansBiomed.,KRX:042520,KRX,042520,KR,,,,,,ready_to_collect,non_us_ir_annual_report_collector,cosplan_c71899192374,HansBiomed. KRX:042520 KRX investor relations annual report official filing,Investor relations / annual report / exchange or securities filing,"Fetch latest annual report or securities filing, extract revenue/gross profit, cite source URL, then merge into company_financial_metrics.csv.",2026-07-07T12:46:18+08:00
