source_table,total_rows,usable_or_reference_rows,planned_or_review_rows,excluded_or_noise_rows,covered_rows,missing_owner_rows,missing_status_rows,dominant_class,top_operational_status,top_responsible_module,top_planned_status,top_planned_responsible_module
brands,960,960,0,0,960,0,0,reference_or_registry,indexed_reference_data:960,reference_data_maintenance:960,,
briefing_fulltext_rescue,95,49,0,46,95,0,0,reference_or_registry,fulltext_rescued:49; fetch_failed:36; short_body:10,briefing_fulltext_rescue:95,,
briefing_product_gap_candidates,4,4,0,0,4,0,0,reference_or_registry,ready_for_master_mapping:4,product_master_gap_review:4,,
briefing_update_candidates,425,391,0,34,425,0,0,reference_or_registry,candidate_unverified:339; rejected_event_class:25; promoted:21; verified_gap:15; excluded_scope_unlinked:13,briefing_official_verification:355; briefing_update_pipeline:70,,
briefing_verified_update_events,36,36,0,0,36,0,0,usable_master,verified_gap:15; promoted:12; promoted_to_log:9,briefing_verified_update_pipeline:36,,
companies,362,362,0,0,362,0,0,reference_or_registry,seed_row_mapped_to_company_master:362,company_master_pipeline:362,,
company_background_evidence,52,52,0,0,52,0,0,reference_or_registry,background_candidate_nonblocking:52,company_background_review:52,,
company_capital_structure,72,72,0,0,72,0,0,reference_or_registry,background_candidate_nonblocking:72,capital_structure_review:72,,
company_financial_metrics,16,16,0,0,16,0,0,usable_master,promoted_or_ready_financial_metric:14; manual_pending_verification:2,financial_metrics_pipeline:14; financial_metric_verification:2,,
company_geo,362,362,0,0,362,0,0,usable_master,geo_mapped:362,geo_mapping_maintenance:362,,
company_master,362,362,0,0,362,0,0,reference_or_registry,seed_only_reference_nonblocking:362,master_data_maintenance:362,,
company_media_asset_index,23247,18988,0,4259,23247,0,0,reference_or_registry,processed_specs_only:13399; downloaded:5242; retry_closed_nonblocking:4259; processed_no_asset:209; processed_no_logo:138,media_asset_indexer:23247,,
company_official_source_evidence,26891,26727,0,164,26891,0,0,reference_or_registry,official_domain_reference:14643; official_candidate_pool_indexed:6939; archived_secondary_or_nonofficial:5309,official_source_crosscheck:26891,,
company_official_source_plan,3667,3667,0,0,3667,0,0,reference_or_registry,completed_or_superseded:3667,official_product_page_collector:1324; ifu_labeling_collector:1324; registration_certificate_collector:959; financial_report_collector:60,,
company_official_website,365,365,0,0,365,0,0,reference_or_registry,official_surface_indexed:355; candidate:10,official_website_review:365,,
conferences,993,993,0,0,993,0,0,reference_or_registry,indexed_reference_data:993,reference_data_maintenance:993,,
evidence,2985,2985,0,0,2985,0,0,reference_or_registry,indexed_reference_data:2985,reference_data_maintenance:2985,,
evidence_promotion_log,15614,15614,0,0,15614,0,0,usable_master,promoted_fact_trace:15614,evidence_promotion_pipeline:15614,,
evidence_staging,235,206,0,29,235,0,0,reference_or_registry,needs_review:112; manual_new_product_candidate:58; approved_for_merge_trace:36; manual_excluded_out_of_scope:29,staging_review:199; staging_merge_worker:36,,
field_dictionary,8,8,0,0,8,0,0,reference_or_registry,registered_or_planned:8,data_governance:8,,
listed_company_batch,61,61,0,0,61,0,0,reference_or_registry,background_candidate_nonblocking:53; usable_company_background_or_capital:8,capital_structure_review:53; company_master_pipeline:8,,
manual_product_fact_evidence,15282,15282,0,0,15282,0,0,usable_master,promoted_to_product_master:15282,product_fact_promotion_pipeline:15282,,
market_metrics,638,638,0,0,638,0,0,reference_or_registry,indexed_reference_data:638,reference_data_maintenance:638,,
market_snapshot,58,58,0,0,58,0,0,usable_master,usable_market_snapshot:57; pending_live_fetch_optional:1,market_snapshot_pipeline:57; market_snapshot_fetcher:1,,
mdr_ce_evidence_candidates,5619,3015,0,2604,5619,0,0,reference_or_registry,archived_search_candidate_no_user_action:2587; policy_archived_company_claim_candidate:1549; policy_accepted_official_claim_no_number_required:1466; archived_secondary_or_nonofficial:17,mdr_ce_policy_closure:5619,,
mdr_ce_search_plan,2607,2607,0,0,2607,0,0,reference_or_registry,policy_closed_no_public_number_chase:2607,mdr_ce_policy_closure:2607,,
news_regulatory_event_candidates,30,29,0,1,30,0,0,reference_or_registry,candidate_unverified:28; excluded_scope_unlinked:1; orphan_product_id_unlinked:1,news_official_verification:30,,
official_indication_evidence,708,708,0,0,708,0,0,usable_master,trusted_official_indication:708,official_indication_pipeline:708,,
official_source_registry,28,28,0,0,28,0,0,reference_or_registry,registered_or_planned:28,data_governance:28,,
official_website_master,19824,19824,0,0,19824,0,0,reference_or_registry,candidate:9951; official_surface_indexed:9873,official_website_review:19824,,
policy_regulatory_source_plan,26,26,0,0,26,0,0,reference_or_registry,registered_or_planned:26,data_governance:26,,
product_family_master,963,963,0,0,963,0,0,usable_master,usable_family_hierarchy:963,product_hierarchy_maintenance:963,,
product_master,979,979,0,0,979,0,0,usable_master,trusted_master_row:818; usable_master_row_specs_pending:160; seed_only_reference_nonblocking:1,master_data_maintenance:819; product_specification_pipeline:160,,
product_sku_master,1079,1079,0,0,1079,0,0,usable_master,usable_sku_or_trace_row:1004; sku_split_candidate_nonblocking:75,product_hierarchy_maintenance:1079,,
product_specification_evidence,53676,36215,0,17461,53676,0,0,reference_or_registry,medium_source_crosscheck:16711; medium_review_sample_pool:11918; filtered_noise:8947; plan_missing_product_family:6264; medium_inferred_family_source_crosscheck:3238,product_specification_candidate_pool:35538; spec_extractor_quality_filter:8947; product_family_mapping_backfill:6264; product_hierarchy_mapping_backfill:2220; promote_product_specifications_to_master.py:677,,
products,979,979,0,0,979,0,0,reference_or_registry,seed_row_mapped_to_product_master:979,product_master_pipeline:979,,
registration_evidence,1605,1605,0,0,1605,0,0,usable_master,trusted_registration_evidence:1497; needs_review:73; user_confirmed_keep_fda_ce_pending:15; user_confirmed_keep_pending_public_number:12; user_confirmed_mfds_pending_public_number:6,registration_evidence_pipeline:1497; registration_evidence_followup:108,,
reports,9,9,0,0,9,0,0,reference_or_registry,indexed_reference_data:9,reference_data_maintenance:9,,
social_sources,4,4,0,0,4,0,0,reference_or_registry,registered_or_planned:4,data_governance:4,,
source_authority_policy,4,4,0,0,4,0,0,reference_or_registry,registered_or_planned:4,data_governance:4,,
