seed_record_id,product_id,company,brand,standard_product_name,score,source_url,indication
REC_0029,prod_010fb5238182,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,105,https://almalasers.com/wp-content/uploads/2023/03/PBAO02012301_02_Opus_B2B_Brochure_WEB.pdf,"Indicated for treatment of acne scars and wrinkles.; High energy emitted from a single tip, the Colbri targets delicate and hard-to-reach areas, such as around the eyes and fine lines, with high precision."
REC_0582,prod_ada5be5d76c0,Quanta System,Quanta,Thunder MT,105,https://chrome.quantasystem.com/wp-content/uploads/2021/09/Skin-Apps_Application-Charts.pdf,Intended Use Wavelength Mode Spot (mm) Pulse Width Rep.; Rate (Hz) Fluence (J/cm2) Passes over the lesion Zimmer skin cooler fan speed (If any).
REC_0583,prod_d09b2ffe38d4,Quanta System,Quanta,Youlaser MT,105,https://chrome.quantasystem.com/wp-content/uploads/2021/09/Skin-Apps_Application-Charts.pdf,Intended Use Wavelength Mode Spot (mm) Pulse Width Rep.; Rate (Hz) Fluence (J/cm2) Passes over the lesion Zimmer skin cooler fan speed (If any).
REC_0811,prod_72a45f382c8e,Galderma,Restylane Skinboosters,HA Skin Booster,105,https://www.galderma.com/us/sites/default/files/2020-09/90-34704-03%20Restylane%20eIFU.pdf,"Indication Restylane is indicated for mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds."
REC_0910,prod_8b39379aa1d5,Quanta System,Chrome Lase-Station,Multi-Application Workstation,105,https://chrome.quantasystem.com/wp-content/uploads/2021/09/Skin-Apps_Application-Charts.pdf,Intended Use Wavelength Mode Spot (mm) Pulse Width Rep.; Rate (Hz) Fluence (J/cm2) Passes over the lesion Zimmer skin cooler fan speed (If any).
TOPLINE_GALDERMA_RESTYLANE_KYSSE_20260530,prod_0ccb09310f48,Galderma,Restylane Kysse,HA Filler for Lips,105,https://www.galderma.com/us/sites/default/files/2020-09/90-34704-03%20Restylane%20eIFU.pdf,"Indication Restylane is indicated for mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds."
TOPLINE_GALDERMA_RESTYLANE_LYFT_20260530,prod_6a5c0a95c13d,Galderma,Restylane Lyft,HA Filler for Cheeks and Hands,105,https://www.galderma.com/us/sites/default/files/2020-09/90-34704-03%20Restylane%20eIFU.pdf,"Indication Restylane is indicated for mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds."
TOPLINE_GALDERMA_RESTYLANE_REFYNE_20260530,prod_f855bda3a241,Galderma,Restylane Refyne,HA Filler for Dynamic Facial Folds,105,https://www.galderma.com/us/sites/default/files/2020-09/90-34704-03%20Restylane%20eIFU.pdf,"Indication Restylane is indicated for mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds."
TOPLINE_GALDERMA_RESTYLANE_VITAL_LIGHT_20260530,prod_36cccb3f5f45,Galderma,Restylane Skinboosters Vital Light,HA Skin Quality Booster for Delicate Areas,105,https://www.galderma.com/us/sites/default/files/2020-09/90-34704-03%20Restylane%20eIFU.pdf,"Indication Restylane is indicated for mid-to-deep dermal implantation for the correction of moderate to severe facial wrinkles and folds, such as nasolabial folds."
REC_0028,prod_4f7129876c31,IBSA Derma,Aliaxin,Aliaxin (FL/GP/EV),101,https://www.fillermarket.com/en/filler/11525-ibsa-aliaxin-gp-global-performance.html,Indicated for correction of medium and deep skin damage and to increase the volume and contour of the lips.; The main component is the non-animal reticulated hyaluronic acid produced by biofermentation.
REC_0052,prod_a9d3f122f3d9,El.En.,Asclepion,MeDioStar Monolith,101,https://asclepion.com/en/quadrostarpro_en/,"Indicated for treatment of superficial vessels and pigmented lesions.; With a maximum in haemoglobin absorption, the system is perfect for any laser specialist."
REC_0053,prod_aee7452328e9,El.En.,Asclepion,QuadroStar PRO,101,https://asclepion.com/en/quadrostarpro_en/,"Indicated for treatment of superficial vessels and pigmented lesions.; With a maximum in haemoglobin absorption, the system is perfect for any laser specialist."
REC_0160,prod_dbc971ebb3e8,El.En.,DEKA,Onda (Coolwaves),101,https://technologies.dekalaser.com/es-es/product.aspx?item=Again,Is indicated for skin age and sun spots progressively heating the pigmented lesions.; Moveo SR: Focus on Skin Rejuvenation The multipass-controlled action of MOVEO SR causes a prog.
REC_0161,prod_16627855997a,El.En.,DEKA,RedTouch PRO,101,https://technologies.dekalaser.com/es-es/product.aspx?item=Again,Is indicated for skin age and sun spots progressively heating the pigmented lesions.; Moveo SR: Focus on Skin Rejuvenation The multipass-controlled action of MOVEO SR causes a prog.
REC_0187,prod_955ec6ae41e4,VIVACY,Desirial,Desirial / Plus,101,https://desirial.com/en/comfort-intimate-women-vivacy/,"Indicated for rehydration of vaginal and vestibular mucous membranes, and slight hypotrophy of the vulvar labia majora and the pubis, by intradermal injections."
REC_0220,prod_b7b47ba01d84,Dongbang Medical,Elasty Threads,PDO Threads,101,https://www.centralefillers.com/en/products/elasty-f,"Intended for the safe and long-lasting filling of moderate wrinkles.; General Information Elasty F is a dermal filler product developed by DongBang Medical, recognized in the field of Korean medical technology."
REC_0225,prod_ba2124d5992a,Cocoon Medical,Elysion-Pro,Diode Laser,101,https://www.homemedicallaser.com/product/cocoon-primelase-diode-laser-810nm/,Intended for permanent reduction in hair regrowth.; Treatment of Pseudofolliculitis barbae (PFB).
REC_0355,prod_6f741f7cd970,Professional Derma,Jalupro,Super Hydro,101,https://md.jalupro.com/?p=25,Indicated for treatment of skin defects and depressions caused by wrinkles and scars.; JALUPRO HMW is a medical device carried out according to Directive EEC 93/42 MDD.
REC_0360,prod_16f7a0517407,Jeisys Medical,Jeisys,LinearZ (Ultracel [zi:]),101,https://www.linearz.co.kr/en/common/marketing.php,"Intended Use: A device that uses focused ultrasound to coagulate tissue, designed for eyebrow lifting and thigh skin elasticity improvement.; Ad Review Required: Review No."
REC_0485,prod_0b017e1f0144,Energist,NeoGen,NeoGen SPA,101,https://www.neogenplasma.co.uk/neogen-products/psr/,Indications are applicable when using the 5mm nozzle ref 510(k) K132754.; The 25mm nozzle is cleared for general dermatological procedures that involve the coagulation of tissue ref 510(k) K221873.
REC_0495,prod_546a83c3eef6,Euroresearch,Nithya,Collagen,101,https://www.nithya.it/en/questions/,"Indicated for correction of blemishes related to ageing; Helps to maintain elasticity of the skin by reducing dryness and lipid peroxidation; At the discretion of a doctor, nithya may be used on the face, décolleté, neck, hands, arms and body."
