seed_record_id,product_id,company,brand,standard_product_name,track,form,total_score,source_score,extract_score,source_url,search_title,fetched_title,indication
REC_0029,prod_010fb5238182,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,EBD,Hair Restoration,161,74,87,https://almated.medelite.ca/en/,Alma TED: Non-invasive hair stimulation technology,Alma TED: Non-invasive hair stimulation technology,"Indications for the use of Alma TED?; Alma TED is indicated for the treatment of androgenetic alopecia, diffuse hair loss, and hair regrowth stimulation."
REC_0281,prod_a3dbf7c2947a,Fotona d.o.o.,Fotona,StarWalker MaQX,EBD,Laser,155,68,87,https://inomedis.lv/en/catalog/brendy/fotona/starwalker-maqx/,Fotona StarWalker MaQX: ultra-performance system with Q-Switched laser,Fotona StarWalker MaQX: ultra-performance system with Q-Switched laser,Indicated for treatment of pigment; Full Spectrum Tattoo Removal Laser System.
REC_0281,prod_a3dbf7c2947a,Fotona d.o.o.,Fotona,StarWalker MaQX,EBD,Laser,152,90,62,https://www.fotona.com/en/campaigns/6235/starwalker-r-maqx-the-best-tool-for-pigmented-lesions/,StarWalker® MaQX The Best Tool for Pigmented Lesions | Fotona,StarWalker® MaQX The Best Tool for Pigmented Lesions | Fotona,"Indications, but some conditions such as melasma can be quite challenging to treat.The Fotona; StarWalker MaQX."
REC_0638,prod_c618b5a64752,Ilooda,Secret,Secret RF / Duo,EBD,Microneedling,149,62,87,https://cutera.com/us-en/products/secret-duo/,CUTERA | Secret™ DUO,CUTERA | Secret™ DUO,Indicated for treatment of Mild to Severe Acne.; AviClear.
REC_0432,prod_25b2bc40fbc9,Asclepion Laser,MeDioStar Monolith,半导体脱毛激光,EBD,Laser,148,61,87,https://fda.report/GUDID/04058784000279,MeDioStar 04058784000279 Medical Device Identification,MeDioStar 04058784000279 Medical Device Identification,"Intended for hair removal, permanent hair reduction and the treatment of; benign pigmented and vascular lesions."
REC_0908,prod_9d299b0ce20d,Quanta System,Thunder,Dual-Wavelength High-Speed Hair Removal,EBD,Laser,147,60,87,https://astanzalaser.com/technology/thunder-series/,Thunder Series Dual-Wavelength Laser Systems for Hair Removal | Astanza Laser,Thunder Series Dual-Wavelength Laser Systems for Hair Removal | Astanza Laser,Indicated for treatment of wrinkles on all skin types with no down-time.; Thunder.
REC_0623,prod_a0b846031cf4,Skin Tech,RRS,RRS HA Injectable,Injectables,Skin Booster,147,60,87,https://www.skintechpharmagroup.com/new-rrs-ha-long-lasting-2/,NEW RRS® HA Long Lasting - Skin Tech Pharma Group S.L.U.,NEW RRS® HA Long Lasting - Skin Tech Pharma Group S.L.U.,"Indicated for the treatment of skin photo ageing and its consequences and dermal atrophy; soft filling of skin depressions and wrinkles, restauration of skin hydration."
REC_0622_RRS_HA_LONG_LASTING,prod_9dc8a1da4d72,Skin Tech,RRS HA Long Lasting,RRS HA Long Lasting,Injectables,Dermal Filler,147,60,87,https://en.anti-age-magazine.com/rrs-ha-long-lasting-the-ultimate-skin-builder/,"RRS® HA LONG LASTING, The “ultimate skin builder” – Anti Age and Longevity Magazine","RRS® HA LONG LASTING, The “ultimate skin builder” – Anti Age and Longevity Magazine","Indicated for treatment of skin photoaging and its consequences, which include skin elastosis, skin laxity and wrinkles, associated pigmentation disorders and other manifestations of skin photoaging, with a high level of safety and long-lasting result of dermal hydration and improvement of skin volume loss in the middle part of the face after one single treatment."
REC_0819,prod_73700a68ac8a,Solta Medical,VASERshape,Non-Invasive Ultrasound,EBD,Body Contouring,147,60,87,https://www.biospace.com/solta-medical-inc-release-new-groundbreaking-ultrasound-technology-delivers-permanent-non-invasive-waistline-fat-reduction,"Solta Medical, Inc. Release: New, Groundbreaking Ultrasound Technology Delivers Permanent Non-Invasive Waistline Fat Reduction - BioSpace","Solta Medical, Inc. Release: New, Groundbreaking Ultrasound Technology Delivers Permanent Non-Invasive Waistline Fat Reduction - BioSpace","Indicated for the treatment of inflammatory acne, comedonal acne, pustular acne, and mild-to-moderate inflammatory acne.; CLARO is a personal care acne system that is the first FDA cleared over-the-counter IPL device that uses a powerful combination of both heat and light to clear skin quickly and naturally."
REC_0306,prod_8651924ee70e,W.L. Gore & Associates,Gore-Tex,ePTFE Implants,Implants,Other Implant,147,60,87,https://www.goremedical.com/products/propaten,PROPATEN® Vascular Graft | Gore Medical,PROPATEN® Vascular Graft | Gore Medical,"Is intended for use as vascular prostheses for replacement or bypass of diseased vessels in patients suffering occlusive or aneurysmal diseases, in trauma patients requiring vascular replacement, for dialysis access, or for other vascular procedures."
REC_0624,prod_916e002716fe,Skin Tech,RRS,RRS HA Eyes,Injectables,Skin Booster,143,56,87,https://www.isla-med.com/shop/11830-skintech-rrs-ha-eyes-25336,Skintech RRS HA Eyes 1.5ml | ISLA MED,Skintech RRS HA Eyes 1.5ml | ISLA MED,"Indicated for treatment of skin aging and dehydration around the eye area, as well as to reduce puffiness and dark circles.; 30-day money-back guarantee."
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,Injectables,Mesotherapy,135,48,87,https://trelis.eu/en/brands/subdistribution/meso-wharton,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,Meso-Wharton P199 Deep Skin Rejuvenation Bioreparant | Trelis,Is intended for intradermal injection by a certified specialist.; The injection technique and depth are determined individually based on the patient’s skin condition and aesthetic goals.
REC_0448,prod_0f21b463f349,ABG Lab LLC,Meso-Wharton P199™,Anti-Aging & Regeneration,Injectables,Mesotherapy,135,48,87,https://moryskin.com/en/product/meso-wharton-p199-1-x-1-5-ml/,Meso-Wharton P199 – Skin Regeneration & Anti-Aging | MorySkin,Meso-Wharton P199 – Skin Regeneration & Anti-Aging | MorySkin,"Is intended for general skin improvement, such as rejuvenating and fighting acne scars.; Area filter:."
REC_0400,prod_8438280d11e4,Daeyang Medical,Liftron,RF Microneedling,EBD,Microneedling,133,46,87,https://www.cynosure.com/product/genius/,Genius RF Microneedling - Cynosure Lutronic,Genius RF Microneedling - Cynosure Lutronic,Intended for distribution in the US only.; The Lutronic Genius RF microneedling system is intended for use in dermatologic and general surgical procedures for electrocoagulation and hemostasis.
