seed_record_id,query,title,url,official_score
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",Alma TED® | Alma Lasers - almainc.com,https://almainc.com/product/alma-ted/,86
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration","Hair Today, Here Tomorrow | Alma Lasers",https://patients.almainc.com/patients/almated,86
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",A Single-center Study Evaluating Alma TED TM and a Peptide-based,https://almalasers.com/wp-content/uploads/2023/06/Alma-TED-Desai-White-Paper-FIN_.pdf,114
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",Alma TED: Non-invasive hair stimulation technology,https://almated.medelite.ca/en/,74
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",TED Hair Restoration,https://www.mariposa-transformation.com/services/ted-hair-restoration,32
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration","Alma TED Hair Restoration Technology: The Standardized Growth Factor Advantage Over Variable-Quality PRP - Dr. Glenn M. Charles, Charles Medical Group",https://charlesmedicalgroup.com/plastic-surgery/alma-ted-hair-restoration-technology/,44
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",Alma TED | Hair Restoration NYC - Aglow Dermatology,https://www.dinastrachanmd.com/services/cosmetic-dermatology/alma-ted-hair-restoration-nyc/,44
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",Alma TED Review: What a Doctor Thinks About This Hair Loss Treatment,https://www.hims.com/blog/alma-ted-review,44
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration","Alma TED Hair Restore: Procedure, Benefits, Recovery, and Cost",https://www.forhair.com/alma-ted-hair-restoration-device-procedure-benefits-recovery-and-cost/,44
REC_0029,"Alma Lasers TED Trans-Epidermal Drug Delivery official product page IFU brochure ""indication"" ""intended use"" EBD Hair Restoration",Alma TED Hair Restoration Bellevue — SageMED,https://www.sagemed.co/alma-ted-hair-restoration,44
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",CONCERTO,https://www.prpgun.co.uk/concerto/,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",Carboxytherapy and Mesotherapy Device | Concerto | Both Therapies - One Injector,https://medicaldevices-bg.com/therapy-devices/concerto/,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",CONCERTO mesoGUN | Aggeia.eu,https://www.aggeia.eu/concerto-mesogun/,32
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",Concerto – KN Medical,https://kn-medical.com/en/product/concerto/,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",Concerto - Pro1laser,https://pro1laser.com/product/concerto/,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",Concerto mesotherapy and carboxytherapy gun | Mesotherapy Guns online,https://www.dhmaterialmedico.com/en/mesotherapy-and-carboxytherapy-gun-concerto,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices","Concerto Mesogun, Mesotherapiem filler Carboxytherapie",https://www.lanettemedical.com/a-49750620/alle-apparatuur/aams-concerto-mesotherapie-fillers-carboxy-therapy/,32
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",MESO in PRP injector - MESOGUN - Proskin,https://proskin.si/meso-in-prp-injector-mesogun/,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",Concerto - Pro1laser,https://laserequipmentglobal.com/product/concerto/,16
REC_0126,"Concerto Mesogun official product page IFU brochure ""indication"" ""intended use"" EBD Injection Devices",Tube for Concerto mesotherapy and carboxytherapy gun. Box of 50 units. | MESOTHERAPY KITS,https://www.dhmaterialmedico.com/en/tube-for-mesotherapy-and-carboxytherapy-gun-concert-box-of-50-units,16
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment",Adonyss OxiPulse Oxygen Facial Machine | Zemits,https://zemits.co.uk/product/adonyss-oxipulse,16
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment","Adonyss SkyFrax Аппарат микроигольчатого фракционного RF-лифтинга""",https://adonyss.com.ua/product/adonyss-sky-frax-mikroigolchastyj-rf,16
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment",Buy Adonyss QuantumPeak: Advanced Laser Technology,https://aestheticcosmtics.com/product/adonyss-quantumlite-qpl-rf/,40
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment",Adonyss COM Patient Isolation Chamber | Adonyss - Medical Equipment,https://adonyss.com/product/adonyss-portable-patient-isolation-chamber,16
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment",Advance Esthetic L L C FDA Filings,https://fda.report/Company/Advance-Esthetic-L-L-C,69
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment",Adonyss DioPulse Diode Laser For Hair Removal,https://zemits.net/product/adonyss-diopulse,16
REC_0014,"Advance Esthetic Adonyss official product page IFU brochure ""indication"" ""intended use"" EBD Professional Treatment",Фракционный лазер Adonyss CarbonFrax CO2 | Adonyss – Высокотехнологичный бренд лазерного оборудования №1 в мире,https://adonyss.com.ua/product/carbonfrax-co2,16
