seed_record_id,query,error,message
REC_0008,Arthrex ACA-Kit Autologous Conditioned Adipose brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0008,"Arthrex ACA-Kit Autologous Conditioned Adipose IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0902,"""Asclepion"" ""MeDioStar"" ""810+940nm Diode Hair Removal"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0902,Asclepion MeDioStar 810+940nm Diode Hair Removal brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0902,"Asclepion MeDioStar 810+940nm Diode Hair Removal IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0090,"""BMED"" ""Bontempi"" ""B.A.F.F.I. Kit"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0090,BMED Bontempi Kit brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0090,"BMED Bontempi Kit IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0974,"""BNC Korea"" ""BONIVA FILLER"" ""BONIVA Filler"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0974,BNC Korea BONIVA FILLER brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0974,"BNC Korea BONIVA FILLER IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0164,"""BR Pharm"" ""Derm S"" ""Post-Procedure Care"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0164,Pharm Derm Post-Procedure Care brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0164,"Pharm Derm Post-Procedure Care IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0340,"""BRERA Medical"" ""Imperium Med 400"" ""RF & Ultrasound"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0340,BRERA Medical Imperium Med 400 Ultrasound brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0340,"BRERA Medical Imperium Med 400 Ultrasound IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0549,"""BRERA Medical"" ""Plasmage"" ""Fractional Plasma"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0549,BRERA Medical Plasmage Fractional Plasma brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0549,"BRERA Medical Plasmage Fractional Plasma IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0867,"""BTL"" ""EXION Clear RF"" ""RF for Skin Clarity"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0867,BTL EXION Clear for Skin Clarity brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0867,"BTL EXION Clear for Skin Clarity IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0871,"""BTL"" ""Exilis Ultra"" ""RF + Ultrasound Combination"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0871,BTL Exilis Ultra Ultrasound Combination brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0871,"BTL Exilis Ultra Ultrasound Combination IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0301,"""BeautyBio"" ""GloPRO"" ""Microneedling Tool"" indication intended use",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0301,BeautyBio GloPRO Microneedling Tool brochure PDF indication intended use,RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
REC_0301,"BeautyBio GloPRO Microneedling Tool IFU ""Instructions for Use"" PDF",RuntimeError,"HTTPSConnectionPool(host='lite.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
