seed_record_id,product_id,company,brand,standard_product_name,score,url,final_url,title,indication
REC_0018,prod_44cc33ddc1de,Agnes Medical,Agnes RF,绝缘微针射频,87,https://lat.agnesmedical.com/product/agnes-s/,https://lat.agnesmedical.com/product/agnes-s/,Best RF Microneedling Device | Agnes Medical | Find a Provider,Indicated for use in dermatological and general surgical procedures for electrocoagulation and homeostasis.; Enquire about this FDA Approved dermatological device.
REC_0029,prod_010fb5238182,Alma Lasers,Alma TED,Trans-Epidermal Drug Delivery,87,https://almated.medelite.ca/en/,https://almated.medelite.ca/en/,Alma TED: Non-invasive hair stimulation technology,"Indications for the use of Alma TED?; Alma TED is indicated for the treatment of androgenetic alopecia, diffuse hair loss, and hair regrowth stimulation."
REC_0048,prod_caab8c505c94,Fillmed,Art Filler,Art Filler (Universal/Volume/Lips),62,https://uk.fillmed.com/art-filler/,https://uk.fillmed.com/art-filler/,ART FILLER® - Hyaluronic Acid Dermal Fillers - FILLMED,"INDICATION; Soft lip volume, contour and peri-oral wrinkles."
REC_0053,prod_aee7452328e9,El.En.,Asclepion,QuadroStar PRO,62,https://asclepionuk.com/medical-aesthetic-devices/quadrostar-pro-yellow-aesthetic-laser-system/,https://asclepionuk.com/medical-aesthetic-devices/quadrostar-pro-yellow-aesthetic-laser-system/,QuadroStar PRO Yellow | 577nm Vascular Laser | Asclepion UK,"Indications, pigmentation removal, and acne treatment.; How does the Pro Yellow laser work?."
REC_0075,prod_1361974ef901,Body Health,BHS 202 / BHS 156 (HIMFU),HIMFU (Body Contouring),62,https://bodyhealthgroup.es/en/himfu-en/,https://bodyhealthgroup.es/en/himfu-en/,HImFU En – Body Health®,For the treatment of; localized fat deposits.
REC_0075,prod_1361974ef901,Body Health,BHS 202 / BHS 156 (HIMFU),HIMFU (Body Contouring),62,https://bodyhealth.com.ar/en/himfu-en/,https://bodyhealth.com.ar/en/himfu-en/,HImFU En – Body Health®,For the treatment of; localized fat deposits.
REC_0081,prod_8be29b3ce71e,Zepter,Bioptron 2 / Pro 1,Light Therapy (Photobiomodulation),62,https://bioptron.co.nz/products/bioptron-pro1-with-table-stand,https://bioptron.co.nz/products/bioptron-pro1-with-table-stand,Bioptron Pro1 with Table Stand - Light Therapy Device  – Zepter Bioptron Hyperlight,"Indications include support for wound healing (including venous leg ulcers, pressure sores, and burns); Certified medical device indications include dermatological disorders and skin problems (including acne, herpes, and psoriasis)."
REC_0119,prod_e56360e81442,Sinclair Pharma,Cocoon Medical,Primelase,87,https://sinclair.com/brands/energy-devices/primelase-excellence/,https://sinclair.com/brands/energy-devices/primelase-excellence/,Primelase Excellence - Sinclair Global,"Is intended for the medical treatment of pseudofolliculitis and hirsutism.; Primelase® Excellence is also intended for the treatment of vascular lesions, pigmentary lesions and acne vulgaris or follicular treatments."
REC_0126,prod_2f91ca9586c5,A.A.M.S.,Concerto,Mesogun,62,https://medicaldevices-bg.com/therapy-devices/concerto/,https://medicaldevices-bg.com/therapy-devices/concerto/,Carboxytherapy and Mesotherapy Device | Concerto | Both Therapies - One Injector,"Indications:; ✓ In Cosmetic Medecine – Edematous Fibrosclerotic Panniculopathy, Cellulitis, coadjuvant in localized adiposity treatment, pre and postoperative in skin grafts;."
REC_0128,prod_297bd24f7f45,Cocoon Medical,Cooltech Define / Cooltech,Cryolipolysis,87,https://cooltechdefine.com/technology/applicators/,https://cooltechdefine.com/technology/applicators/,The technology and handpieces | By Cooltech Define® - Cooltech Define,Indicated for medium areas and high laxity tissue.; Tiny Curved HP.
REC_0134,prod_aadef274ea7b,Deleo,CRISTAL Fit,HI-EMS,87,https://www.cristal-bodycontouring.com/en/,https://www.cristal-bodycontouring.com/en/,360° Bodycontouring with CRISTAL® | non-invasive medical technology,"Indicated for treatment of sagging skin on the body and face, as well as for the treatment of cellulite – especially when treatment with the DIAMOND applicator is not painless due to the composition of the connective tissue."
REC_0134,prod_aadef274ea7b,Deleo,CRISTAL Fit,HI-EMS,62,https://www.deleo-medical.com/en/cristal-fit/,https://www.deleo-medical.com/en/cristal-fit/,CRISTAL FIT: high intensity electromagnetic fields - Deleo,Indication :; Treatment of urinary incontinence and pelvic floor muscle strengthning.
REC_0142,prod_f516b06922b2,Body Health,Cryo-Radiofrequency (Refreeze),Cryo-Frequency,87,https://bodyhealth.com.ar/en/refreeze-en/,https://bodyhealth.com.ar/en/refreeze-en/,ReFreeze EN – Body Health®,"Indicated for; addressing generalized adiposity, cellulite, and flaccidity."
REC_0221,prod_b1a1ecb4539f,Professional Skin Solutions,Elementrē,Elementrē Dermo Cosmetics,62,https://www.elementre-solutions.com/pages/about-us,https://www.elementre-solutions.com/pages/about-us,"About Us
 – elementrē dermo cosmetics","Indications: signs of skin ageing, uneven skin tone and excess pigmentation, congested and oily skin, dry, irritated, and sensitive skin.; With optimal dosages of key actives,."
REC_0360,prod_16f7a0517407,Jeisys Medical,Jeisys,LinearZ (Ultracel [zi:]),87,https://jeisyseurope.com/,https://jeisyseurope.com/,Precision-Driven RF Microneedling With POTENZA® Jeisys Europe,Intended for use in dermatologic and electronic surgical procedures for electrocoagulation and hemostasis.; ​POTENZA is a registered trademark of Jeisys Medical Inc.
REC_0361,prod_954fd28ff315,Jeisys Medical,Jeisys,Density,87,https://jeisyseurope.com/,https://jeisyseurope.com/,Precision-Driven RF Microneedling With POTENZA® Jeisys Europe,Intended for use in dermatologic and electronic surgical procedures for electrocoagulation and hemostasis.; ​POTENZA is a registered trademark of Jeisys Medical Inc.
REC_0418,prod_98e1ab884d55,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,87,https://www.cynosure.com/product/eco2-plus/,https://www.cynosure.com/product/eco2-3d/,eCO2 3D Fractional CO2 Laser - Cynosure Lutronic,"Intended for distribution in the US only.; The eCO2 3D Laser System with fractional handpieces is indicated for use in dermatological procedures requiring ablation (removal), resurfacing and coagulation of soft tissue."
REC_0418,prod_98e1ab884d55,Lutronic / Cynosure Lutronic,Lutronic,LaseMD Ultra,87,https://www.cynosure.com/product/dermav/,https://www.cynosure.com/product/dermav/,DermaV Vascular & Pigment Laser - Cynosure Lutronic,"Indicated for coagulation and hemostasis of soft tissue, for hemostasis of vascular lesions such as but not limited to port wine stains, hemangioma, warts, telangiectasia, rosacea, venous lake, leg veins and spider veins."
REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,87,https://www.cynosure.com/product/eco2-plus/,https://www.cynosure.com/product/eco2-3d/,eCO2 3D Fractional CO2 Laser - Cynosure Lutronic,"Intended for distribution in the US only.; The eCO2 3D Laser System with fractional handpieces is indicated for use in dermatological procedures requiring ablation (removal), resurfacing and coagulation of soft tissue."
REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,87,https://www.cynosure.com/product/dermav/,https://www.cynosure.com/product/dermav/,DermaV Vascular & Pigment Laser - Cynosure Lutronic,"Indicated for coagulation and hemostasis of soft tissue, for hemostasis of vascular lesions such as but not limited to port wine stains, hemangioma, warts, telangiectasia, rosacea, venous lake, leg veins and spider veins."
REC_0419,prod_19403421ebcf,Lutronic / Cynosure Lutronic,Lutronic,Genius,87,https://www.cynosure.com/product/clarity-ii/,https://www.cynosure.com/product/clarity-ii/,Clarity II Laser Hair Removal - Cynosure Lutronic,"Indicated for coagulation and hemostasis of soft tissue, for hemostasis of vascular lesions such as but not limited to port wine stains, hemangioma, warts, telangiectasia, rosacea, venous lake, leg veins and spider veins."
REC_0420,prod_89333a6ecb2d,Lutronic / Cynosure Lutronic,Lutronic,Hollywood Spectra,87,https://www.cynosure.com/product/eco2-plus/,https://www.cynosure.com/product/eco2-3d/,eCO2 3D Fractional CO2 Laser - Cynosure Lutronic,"Intended for distribution in the US only.; The eCO2 3D Laser System with fractional handpieces is indicated for use in dermatological procedures requiring ablation (removal), resurfacing and coagulation of soft tissue."
REC_0420,prod_89333a6ecb2d,Lutronic / Cynosure Lutronic,Lutronic,Hollywood Spectra,87,https://www.cynosure.com/product/dermav/,https://www.cynosure.com/product/dermav/,DermaV Vascular & Pigment Laser - Cynosure Lutronic,"Indicated for coagulation and hemostasis of soft tissue, for hemostasis of vascular lesions such as but not limited to port wine stains, hemangioma, warts, telangiectasia, rosacea, venous lake, leg veins and spider veins."
