seed_record_id,product_id,company,brand,standard_product_name,action_group,reason,source_url
REC_0126,prod_2f91ca9586c5,A.A.M.S.,Concerto,Mesogun,A_not_explicit_user_rewrite,not_explicit_enough,https://medicaldevices-bg.com/therapy-devices/concerto/
REC_0014,prod_c51a363262f4,Advance Esthetic,Adonyss,Adonyss,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Zemits,https://advance-esthetic.us/ultimate_skin_renewal_bundle
REC_0851,prod_29134424e03e,Alma Lasers,DermaClear,Hydradermabrasion System,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Accent Prime,https://almalasers.com/product_cat/skin/
REC_0058,prod_63bb8b978ce1,Alvi Prague,Autonomy / F-Series,综合美容工作站,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Microchannel Technology,https://alvi-prague.ae/about-us
REC_0195,prod_a9a7cdbe4956,Alvi Prague,DL-7000 Ultra Pulse,半导体脱毛激光,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Diode 808nm,https://alvi-prague.ae/diode-lasers/
REC_0434,prod_6de1107efdaa,Alvi Prague,MED-X,二氧化碳点阵激光,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:EXION Fractional RF,https://alvi-prague.com/fractional-laser-co2-med-x
REC_0038,prod_ea1ee5b1932e,Aptos,Aptos Namica,玻尿酸功能线,A_not_explicit_user_rewrite,not_explicit_enough,https://namica.ngt.hk/
REC_0043,prod_88c99020df94,Aquavit Pharmaceuticals,Aquagold Ampoules,医用级安瓶,A_not_explicit_user_rewrite,not_explicit_enough,https://aquagoldfinetouch.com/pages/aquagold
REC_0008,prod_c4ae0e2960a6,Arthrex,ACA-Kit (Autologous Conditioned Adipose),ACA-Kit (Autologous Conditioned Adipose),C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Touch My Skin (TMS) / Varioderm Mesolift,https://www.arthrex.com/resources/FL2-000936-en-US/title
REC_0090,prod_edf297e7fbd6,BMED,Bontempi,B.A.F.F.I. Kit,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Aptos Nano,https://www.bontempimed.com/cataloghi/Brochure_Tecnica_BAFFI_BUTTOCK_Quaranta.pdf
REC_0974,prod_26725a451fd7,BNC Korea,BONIVA FILLER,BONIVA Filler,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Cutegel Lidocaine,http://www.bnckorea.co.kr/eng/0201products.asp?ct1=G01&ct2=&seq=44&urlkeyword=FLORE+Lidocaine
REC_0164,prod_0803c36d054e,BR Pharm,Derm S,Post-Procedure Care,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:HP Cell Vitaran,https://pamiderm.com/en/b/vitaran
REC_0340,prod_febc8674f517,BRERA Medical,Imperium Med 400,RF & Ultrasound,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:LMWHA Home Care,https://www.breramedical.com/en/products/imperium-med/
REC_0549,prod_75dcc03faa0f,BRERA Medical,Plasmage,Fractional Plasma,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Jovena,https://www.breramedical.com/home-en/bmt/depliant
REC_0867,prod_b5b0c31cc885,BTL,EXION Clear RF,RF for Skin Clarity,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Emface,http://www.exion.com/
REC_0871,prod_565dcef1d971,BTL,Exilis Ultra,RF + Ultrasound Combination,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Microchannel Technology,https://btl-vn.firmstudio.com/exilis/
REC_0301,prod_943dfb98d110,BeautyBio,GloPRO,Microneedling Tool,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:LMWHA Home Care,https://beautybio.com/products/glopro-at-home-microneedling-tool?bvstate=pg%3A2%2Fct%3Aq
REC_0071,prod_efeb75b92560,Benev,Benev GF Series (GF-DNA),Growth Factors,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:BOTOX Cosmetic,https://www.benev.com/benev-skincare
REC_0667,prod_03ea16aa60a0,Benev,Smart Peels,Modified Acid System,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Benev Exosome (ERC / ERC+),https://exosomebybenev.com/
REC_0086,prod_67608c04e0b3,Bio-Therapeutic,Bio-Ultimate Platinum,Microcurrent,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:BOTOX Cosmetic,https://www.biotherapeuticaus.com.au/pages/bio-ultimate-platinum
REC_0967,prod_4ae5a7c8f961,BioPlus,ACROSS,ACROSS,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Volus 10,http://across.kr/eng/
REC_0605,prod_81dc370a45cf,Biotec,Renova,Facial Platform,A_not_explicit_user_rewrite,not_explicit_enough,https://biotecitaliauk.co.uk/renova-omnia/
REC_0287,prod_e5c12b6c2481,Blue Moon,Frozen,Cryolipolysis,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Microchannel Technology,https://www.perfect-blue.com/en/procedures/perfect-blue-medispa/cryolipolysis-lipomassage.html
REC_0074,prod_3c8d61b13587,Body Health,BHS 201 / Cryo-Frequency,Cryo-Radiofrequency,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Venusian CO2 Therapy,https://bodyhealth.com.ar/en/refreeze-en/
REC_0595,prod_09c8433a608f,Bomtech Electronics,Refine,Auto-MTS,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Aptos Wire / Needle,http://bomtech.net/english/product5_01_new.html?cate=product6
REC_0138,prod_36e5518f310f,Brymill,Cry-Ac® / Cry-Ac®-3,Cryosurgery,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Cry-Baby®,https://www.brymill.com/docs/default-source/default-document-library/cry-ac_instructions_for_use_rev_4_english_rest_of_worlde920106f6d026b74931bff0000d12bb9.pdf?sfvrsn=0
REC_0174,prod_17911e49bc65,CGBIO / Cell Growth Bio,DERMAREVIVE,Exosome/Microneedle,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Belotero Revive,https://www.dermareviveskincareltd.co.uk/exosomes/
REC_0504,prod_58da5da1427a,CGBIO / Cell Growth Bio,NOVOSIS,Growth Factor,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Cutegel Lidocaine,https://www.cgbio.co.kr/en/product/aesthetics/aileene
REC_0084,prod_b5144b7e9c39,CMed Aesthetics,BioReTherapy (Hydra/Lift),Post-Procedure,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:DTS Roller (Disk Type),https://cmedaestheticsaustralia.com.au/blogs/news/bioretherapy-system-biorepeelcl-%C2%AE-biorehydra-biorelift
REC_0298,prod_32274b6a2644,Candela,GentleMax Pro / Pro Plus,Hair Removal Platform,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Cynergy / Dual Yellow (Tech),https://candelamedical.com/products/gentle-pro-series/
REC_0865,prod_40519e61ef99,Candela,Glacē,Hydro-Dermabrasion + LED,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Nordlys,https://marketing.candelamedical.com/JP-CP-2025-11-Glace-Hydradermabrasion-White-Paper_LP.html
REC_0497,prod_95127b4e1783,Candela,Nordlys,IPL / Multi-platform,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Microchannel Technology,https://candelamedical.com/resources/clinical-papers/nordlys-swt-ipl-clinical-evidence-compendium/
REC_0933,prod_3db628294f2c,Caregen,Dermaheal,Dermaheal,A_not_explicit_user_rewrite,not_explicit_enough,http://dermaheal.com.cn/h-col-123.html
REC_0108,prod_a8401ea0624d,Cha Meditech,Celltermi,Skin Booster,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Renuvion Dermal,https://www.chamt.co.kr/en/Products/Dorothy.aspx
REC_0265,prod_2d4a8fd2cc8a,Cha Meditech,Exosome Skin Booster,Exosome,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:HyaFilia,https://www.chamt.co.kr/en/Products/Classic.aspx
REC_0759,prod_2458c93e680b,Chaeum Pharma,VOM / VOM O/M/V,HA Filler,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:New Natural Line / XCellarisPRO,https://fillersfairy.com/product/chaeum-premium-3/
REC_0723,prod_f3ac7de00cf3,Classys,Ultraformer III / MPT (Shurink),HIFU (Ultrasound),C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:DL-7000 Ultra Pulse,https://ultraformer.com/ultraformer-%e2%85%a2/what-is-uf3/
REC_0019,prod_63a2fcd1ee8d,Cliniccare,AHA / BHA Peels,Chemical Peel,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:LMWHA Home Care,https://cliniccare.se/chemical-peels/pure-peel
REC_0128,prod_297bd24f7f45,Cocoon Medical,Cooltech Define / Cooltech,Cryolipolysis,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Soft Tissue Reinforcement,https://cooltechdefine.com/technology/
REC_0670,prod_f9613565d24b,Collagen Matrix / Regenity Biosciences,Soft Tissue Reinforcement,Soft Tissue Scaffold,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Matrix,https://regenity.com/products-services/
REC_0573,prod_275cdb6c6d7c,Croma Pharma,Pure HA / Farewell,Post-Procedure,A_not_explicit_user_rewrite,not_explicit_enough,https://www.croma.at/products-de-en-001/
REC_0634,prod_4acbb96379cb,Cynosure,SculpSure,Submental Fat,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Elite iQ,https://www.cynosure.com/webcasts/sculpsure-webcast/
REC_0901,prod_956e9aaf5595,DEKA,Lipo AI,1444nm Laser Lipolysis,A_not_explicit_user_rewrite,not_explicit_enough,https://technologies.dekalaser.com/en-GB/productdocuments.aspx?item=lipo_ai
REC_0468,prod_38970f165cf3,DEKA,Motus AX / AY,Alexandrite Laser,A_not_explicit_user_rewrite,not_explicit_enough,https://dekalaser.com/products/motus-ax/
REC_0899,prod_de4fe30d53c9,DEKA,Onda PRO,Coolwaves Microwave,A_not_explicit_user_rewrite,not_explicit_enough,https://technologies.dekalaser.com/es-ES/productdocuments.aspx?item=Onda_Pro
REC_0668,prod_3ce57001f9c2,DEKA,SmartPico,Picosecond Laser,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:PRP-like Therapy,https://www.dekalaser.com/en-GB/product.aspx?item=SmartPICO
REC_0329,prod_e7b0d1042e84,DFK Biolab,Hyalmass,Body Filler,A_not_explicit_user_rewrite,not_explicit_enough,https://filler-online.com/Hyalmass-Ultra-1x1-ml/0384
REC_0193,prod_503047b92460,DSD Pharm,Dixidox de Luxe (Classic Line),Trichology,A_not_explicit_user_rewrite,not_explicit_enough,https://dsddeluxe.lv/recommended-therapy/en
REC_0206,prod_348cede7a525,DTS MG,DTS Roller (Disk Type),Microneedling,A_not_explicit_user_rewrite,not_explicit_enough,https://dtsmg.com/en-brands/en-oem/
REC_0214,prod_0ce1204a3ad1,Daewoong,Easydew (RX / DW-EGF),EGF Skincare,A_not_explicit_user_rewrite,not_explicit_enough,https://easydewjapan.com/renewal/about/
REC_0152,prod_54658578e2d2,Decomedical,Decolaser,Diode Laser,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:TL-700 / Pico-Light,https://www.decomedical.com/en/decolaser-m-medical-aesthetic-devices/
REC_0154,prod_e0b83cfd1538,Decomedical,Decopeel,Microdermabrasion,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Cryo-Radiofrequency (Refreeze),https://www.decomedical.com/en/medical-devices/
REC_0155,prod_ef8e2f525d59,Decomedical,Decopress,Pressotherapy,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Cryo-Radiofrequency (Refreeze),https://www.decomedical.com/en/medical-devices/
REC_0169,prod_3eeb761e39e2,DermapenWorld,Dermapen 4,Microneedling,A_not_explicit_user_rewrite,not_explicit_enough,https://www.dermapenworld.com/en-rw/dermapen-professional/dermapen4-app/how-use-dermapen
REC_0170,prod_24428fdc6e75,DermapenWorld,Dermapen Home,Home Use,A_not_explicit_user_rewrite,not_explicit_enough,https://dermapenworld.co.uk/pages/landing-dermapen-home
REC_0186,prod_a08ab337e76d,Dermoaroma,Dermoaroma PDRN,Mesotherapy,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Microchannel Technology,https://dermoaroma.com/dpg-prp/
REC_0558,prod_30336ec4587c,Dives Med,Power Skin / Meso Series,Mesotherapy,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Dives Filler (Universal / Volume),https://premiumskin.lv/en/brand/2-dives-med
REC_0112,prod_d3653ff5a469,Dongkook Pharma,Centellian24 (Madeca Cream),Cosmeceuticals,A_not_explicit_user_rewrite,not_explicit_enough,https://centellian24usa.com/blogs/news/centellian-24-madeca-cream-anti-aging-cream-teca
REC_0061,prod_904761e21bec,Dr. Babor,BABOR Ampoules,Ampoule Concentrates,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Collagen P.I.N.,https://us.babor.com/products/fluids-fp/63694-collagen-firming.html
REC_0197,prod_18ed9d22f745,Dr. Babor,DOCTOR BABOR / PRO,Cosmeceuticals,A_not_explicit_user_rewrite,not_explicit_enough,https://us.babor.com/products/doctor-babor-pro/line/31962
REC_0455,prod_88f11cb6bafb,Eclipse,MicroPen EVO,Microneedling,A_not_explicit_user_rewrite,not_explicit_enough,https://micropenevo.com/us/
REC_0160,prod_dbc971ebb3e8,El.En.,DEKA,Onda (Coolwaves),C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Onda Coolwaves (分销/关联),https://ondacoolwaves.be/onda_uploads/2019/05/Onda-Brochure-ING-Rev-1.6.pdf
REC_0161,prod_16627855997a,El.En.,DEKA,RedTouch PRO,A_not_explicit_user_rewrite,not_explicit_enough,https://dekalaser.com/products/redtouch-pro/
REC_0585,prod_b0d4ee4e961a,El.En.,Quanta System,Thunder MT,A_not_explicit_user_rewrite,not_explicit_enough,https://www.quantasystem.com/us/laser/thunder-series/
REC_0568,prod_28c6e4ae9ca6,EmCyte,Progenisa,Biologics,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:ACA-Kit (Autologous Conditioned Adipose),https://emcyte.com/about-us/
REC_0574,prod_aa4c7abdba97,EmCyte,PurePRP / GenesisCS,PRP Kit,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Lira Clinical,https://emcyte.com/wp-content/uploads/2022/04/GS-SP.pdf
REC_0560,prod_34c8693e47e6,Ema Aesthetics,Préime,Préime DermaFacial,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Microchannel Technology,https://preimedermafacial.com/
REC_0485,prod_0b017e1f0144,Energist,NeoGen,NeoGen SPA,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:General Project,https://www.neo-gen.co.uk/technology/
REC_0451,prod_af930908355a,European Wellness Biomedical,MF+ / EW,Precursor Stem Cells,A_not_explicit_user_rewrite,not_explicit_enough,https://european-wellness.eu/publications/treatment-of-glaucoma-with-progenitor-precursor-stem-cells/
REC_0496,prod_ef8f33b6e109,Euroresearch,Nithya Peel,Chemical Peel,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Renuvion Dermal,https://www.euroresearch.it/wp-content/uploads/2023/04/Nithya-Injection-Points-brochure-2023.pdf
REC_0264,prod_acac3f705bb9,ExoCoBio,EXOMAGE,Cosmeceuticals,A_not_explicit_user_rewrite,not_explicit_enough,https://www.exomage.com/technology
REC_0649,prod_e69bcd77107d,Fillmed,Skin Perfusion,Post-Procedure Skincare,A_not_explicit_user_rewrite,not_explicit_enough,https://uk.fillmed.com/wp-content/uploads/2019/03/Skin-Perfusion-B-B-Brochure.pdf
REC_0279,prod_c86e43d32fd2,FotoFinder Systems,FotoFinder,ATBM master,A_not_explicit_user_rewrite,not_explicit_enough,https://www.fotofinder.de/fileadmin/Documentation/IFU_FotoFinder_bodystudioATBMmaster_20250320_EN.pdf
REC_0280,prod_ced9c2685e0e,Fotona d.o.o.,Fotona,SP Dynamis (4D Pro),A_not_explicit_user_rewrite,not_explicit_enough,https://fotona.com/en/products/2027/sp-dynamis
REC_0996,prod_53a408d41803,Fotona d.o.o.,Fotona,SP Dynamis Pro,A_not_explicit_user_rewrite,not_explicit_enough,https://fotona.com/en/products/2027/sp-dynamis
REC_1001,prod_c0931f4c54a9,Fotona d.o.o.,StarFormer,StarFormer TightWave,A_not_explicit_user_rewrite,not_explicit_enough,https://fotona.com/us/product/fotona-starformer-pro
REC_0999,prod_02f4cd89aad2,Fotona d.o.o.,TimeWalker,TimeWalker II Fotona4D,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Fotona,https://www.fotona.com/us/aesthetic-lasers/
REC_1000,prod_0a209ceda803,Fotona d.o.o.,TimeWalker,TimeWalker II NightLase,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Fotona,http://www.fotona.com/en/aesthetics/products/
REC_0288,prod_701e3c958a7a,Fusion Meso,Fusion,F-XFC / F-Hair,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Exosome Skin Booster,https://fusionmeso.com/product/f-xfc-sterile-serum-vials-revitalization-micro-needling/
REC_0023,prod_22738c55d605,Galderma,Alastin,Regenerating Skin Nectar,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Neuro GABA & NANA Peels,https://alastin.com/products/regenerating-skin-nectar?designate-location=18882
REC_0594,prod_5ece29bbee4f,Glyance,RefillHA,RefillHA (Solid/Ultra Solid),A_not_explicit_user_rewrite,not_explicit_enough,https://www.glyance.com/
REC_0396,prod_69f3db034694,Haim Aesthetics,LeVair,LeVair PDRN / Exovair,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:PRP-like Therapy,https://haimintl.com/products/exovair
REC_0067,prod_317aa4161f85,HansBiomed.,BellaGel,BellaGel Micro,A_not_explicit_user_rewrite,not_explicit_enough,http://www.bellagelimplants.com/en/bellagel_breastimplant
REC_0458,prod_c566406b61d0,HansBiomed.,MINT Lift,MINT (Fine/Petit/Easy),A_not_explicit_user_rewrite,not_explicit_enough,https://www.mintpdo.com/announcement/mint-pdo-receives-third-fda-clearance
REC_0975,prod_b851b8d645e7,HansBiomed.,MegaDerm,MegaDerm,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:Renuvion Dermal,https://hansbiomedusa.com/biologics/
REC_0976,prod_cfde60e90695,HansBiomed.,MegaFill,MegaFill,C_bad_url_mentions_other_brand,candidate_text_mentions_other_brand:MINT Lift,https://store.hansbiomedusa.com/
