priority,status,company,brand,standard_product_name,track,form,product_id,seed_record_id,verification_status,official_product_evidence,other_registration_rows,other_regulators,recommended_action
P2,产品已核，韩国 MFDS/KFDA 未确认,Abio Materials,BioExo-Water,植物外泌体原料,Regenerative,Exosome,prod_5237f68ba525,REC_0077,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Abio Materials,Celexo,术后修复与抗衰,EBD,Microneedling,prod_5c030635760a,REC_0104,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Abio Materials,CellExosome®,外泌体皮肤动能素/水光,Regenerative,Exosome,prod_a5ee1496505f,REC_0107,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Abio Materials,Lucidor,护肤品,Regenerative,Exosome,prod_c27e26b61c0f,REC_0413,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Across,Dermalax,HA Dermal Fillers,Injectables,Dermal Filler,prod_118ab4dff259,REC_0167,official_product_and_spec_cross_checked,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Across,Persnica,HA Dermal Fillers,Injectables,Dermal Filler,prod_769aa48e85f4,REC_0537,official_evidence_promoted,yes,3,EUDAMED / European Commission; European Commission / Notified Body; NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Agnes Medical,Agnes RF,绝缘微针射频,EBD,Radiofrequency,prod_44cc33ddc1de,REC_0018,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Asterasys,Futera Dots,点阵射频 (Fractional RF),EBD,Radiofrequency,prod_8ac097cddd93,REC_0289,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Asterasys,Liftera A / Liftera V,高强度聚焦超声 (HIFU),EBD,HIFU,prod_b70fbfc60b13,REC_0398,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Asterasys,Liftera Cool,冷却型聚焦超声 (Cooled HIFU),EBD,HIFU,prod_fdff6d5978e8,REC_0399,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Baz Biomedic,NOVAPlus,无针药物递送系统 (Needle-Free Injector),Consumables,Needles & Cannulas,prod_e73c210bf8b2,REC_0500,official_spec_candidate_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Be Aes Labs,PLAXPOT,等离子皮肤再生仪 (Plasma Device),EBD,Plasma,prod_6057e93d791b,REC_0551,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Be Aes Labs,PLAXPOT Tips,等离子导入头 (Plasma Tip),EBD,Plasma,prod_4cb7ff56d389,REC_0552,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Beamed,Hellas EVO / Hellas RT,Q-Switched Nd:YAG,EBD,Laser,prod_0d45ca0c7712,REC_0315,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Beamed,Maxell,IPL (强脉冲光),EBD,IPL,prod_ff7925b3730e,REC_0428,official_product_and_spec_cross_checked,yes,1,FDA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Beamed,Unixel RF,CO2 Fractional Laser,EBD,Laser,prod_f9fde9d391b6,REC_0725,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BioPlus,ACROSS,ACROSS,Injectables,Dermal Filler,prod_4ae5a7c8f961,REC_0967,official_evidence_promoted,yes,2,FDA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BioPlus,DeneB,Body Filler,Injectables,Dermal Filler,prod_d5b2f27e12d5,REC_0163,official_evidence_promoted,yes,2,EUDAMED / European Commission; European Commission / Notified Body,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BioPlus,HyalDew,HA Dermal Filler,Injectables,Dermal Filler,prod_92f8a1e94062,REC_0328,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BioPlus,Kiara Reju,Kiara Reju,Injectables,Skin Booster,prod_4efdfa479c82,REC_0968,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BioPlus,SkinPlus-Hyal,HA Dermal Filler,Injectables,Dermal Filler,prod_84777f8a86ec,REC_0663,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bison Medical,Cynergy / Dual Yellow (Tech),Copper Bromide Laser,EBD,Laser,prod_b0fe499ed8b0,REC_0146,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bison Medical,Dual Accento,Dual Wavelength Laser,EBD,Laser,prod_b10f6cd187fc,REC_0207,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bison Medical,Fire-Xel,Fractional CO2 Laser,EBD,Laser,prod_eb1e88806d8d,REC_0273,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bison Medical,Lucid Q-PTP,Q-Switched Nd:YAG,EBD,Laser,prod_d585e7929cef,REC_0412,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bluecore,Fouri,Hybrid Laser (CO2+Er:YAG),EBD,Laser,prod_88e8f8e32c49,REC_0283,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bluecore,IRIS,Q-Switched Nd:YAG,EBD,Laser,prod_e76c1cf1a6cb,REC_0352,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bluecore,Picore,Picosecond Nd:YAG,EBD,Laser,prod_b5b19b99e3f7,REC_0544,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,BONIVA,BONIVA,Injectables,Skin Booster,prod_c013792ba2b5,REC_0973,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,BONIVA FILLER,BONIVA Filler,Injectables,Dermal Filler,prod_26725a451fd7,REC_0974,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,Cutegel,Cutegel NMPA HA filler (deep dermis),Injectables,Dermal Filler,prod_bf4ea3166ef3,REC_1031,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,Cutegel,Cutegel NMPA HA filler (middle dermis),Injectables,Dermal Filler,prod_6bddba58542f,REC_1032,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,Cutegel Lidocaine,Cutegel Lidocaine NMPA HA filler (middle dermis),Injectables,Dermal Filler,prod_15c04124bfb8,REC_1030,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,Cutegel Lidocaine,Cutegel Lidocaine NMPA medicated HA filler,Injectables,Dermal Filler,prod_d67645230f76,REC_1033,official_evidence_promoted,yes,1,NMPA,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BNC Korea,Lumifil,L-Kiss / L-Max,Injectables,Dermal Filler,prod_517462ddb18e,REC_0417,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bomtech Electronics,A-One / SDW,Skin Diagnosis,EBD,Skin Diagnosis,prod_1626ab414ab5,REC_0034,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bomtech Electronics,Digital Pop / Bom i-Touch,PMU / Microneedling,EBD,Microneedling,prod_719e5b88387e,REC_0189,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,Bomtech Electronics,Refine,Auto-MTS,EBD,Microneedling,prod_09c8433a608f,REC_0595,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BR Pharm,Derm S,Post-Procedure Care,Injectables,Skin Booster,prod_0803c36d054e,REC_0164,official_document_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
P2,产品已核，韩国 MFDS/KFDA 未确认,BR Pharm,Revitrane,HA Dermal Filler,Injectables,Dermal Filler,prod_2208755ef810,REC_0613,official_product_and_spec_cross_checked,yes,0,,查 MFDS/UDI 韩国医疗器械库；若无公开号，则标记为未公开，不影响官方产品事实。
