company,coverage_status,logo_candidates,downloaded_logo_candidates,best_asset_role,best_entity_scope,best_ext,best_local_path,best_source_url
1st SurgiConcept,has_downloaded_logo,27,27,favicon_or_touch_icon,operating_company,.png,assets\official_media\operating_company\1st_surgiconcept\logo\logo_candidate_58a09a7279.png,https://static.wixstatic.com/media/fa5d6c_a76aee209e0a4c00bbeb02c6872b28f9%7Emv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/fa5d6c_a76aee209e0a4c00bbeb02c6872b28f9%7Emv2.png
54gene,has_downloaded_logo,28,21,operating_company_logo_img,operating_company,.png,assets\official_media\operating_company\54gene\logo\logo_candidate_45b4ee9cf9.png,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/59745cf1-4630-449f-96f6-82c8a42e4c75.png?w=3840
A.A.M.S.,has_downloaded_logo,86,84,favicon_or_touch_icon,operating_company,.png,assets\official_media\operating_company\a_a_m_s\logo\logo_candidate_875d2255b8.png,https://oleapharma.com/img/logo_op.png
ABG Lab LLC,has_downloaded_logo,92,88,operating_company_logo_img,operating_company,.png,assets\official_media\operating_company\abg_lab_llc\logo\logo_candidate_b35cbc7e52.png,https://repository.usmf.md/image/usmf_logo_672x239.png
Abio Materials,has_downloaded_logo,62,62,operating_company_logo_img,operating_company,.svg,assets\official_media\operating_company\abio_materials\logo\logo_candidate_9a611a2b2c.svg,https://assets.production.scribd.com/mfe-scribd-landing-pages/_next/static/media/scribd_wordmark_white.02e695d4.svg
Across,has_downloaded_logo,155,133,operating_company_logo_img,operating_company,.png,assets\official_media\operating_company\across\logo\logo_candidate_c79a826a12.png,https://nordicmss.com/Admin/Public/GetImage.ashx?height=400&width=1000&crop=5&Compression=99&image=%2fFiles%2fImages%2fNMSS%2fNMSS+Mobil%2fNMSS+logoer+mobil%2fHeader+Logo+Mobile+v5.png
Adoderm,has_downloaded_logo,92,86,operating_company_logo_img,operating_company,.png,assets\official_media\operating_company\adoderm\logo\logo_candidate_05c8bf42fc.png,https://www.cirugiadeavanzada.com/img/logo-blanco.png
Advance Esthetic,has_downloaded_logo,217,187,operating_company_logo_img,operating_company,.svg,assets\official_media\operating_company\advance_esthetic\logo\logo_candidate_2291c92b7f.svg,https://advance-esthetic.us/ext/themeDefault/assets/staticImg/svg/AdvanceLogoBlack.svg
Advanced Aesthetic,has_downloaded_logo,50,50,operating_company_logo_img,operating_company,.png,assets\official_media\operating_company\advanced_aesthetic\logo\logo_candidate_30f916e946.png,https://www.algeness.com/ass3ts/template/ALGENESS/img/logo/algeness-logo-gold.png
Aerolase,has_downloaded_logo,91,88,operating_company_logo_img,operating_company,.jpg,assets\official_media\operating_company\aerolase\logo\logo_candidate_42c5b40897.jpg,https://aestheticmedicalpractitioner.com.au/wp-content/uploads/2014/10/AestheticMedicalPractioner_LOGO.jpg
Agnes Medical,has_downloaded_logo,38,25,operating_company_logo_img,operating_company,.png,assets\official_media\operating_company\agnes_medical\logo\logo_candidate_36c3969b9d.png,https://fliphtml5.com/images/header/logo.png
