target,metric,value,total_rows,backup
mdr_ce_search_plan,closed,2607,2607,E:\shared\Documents\data\global_aesthetics_dashboard\data\mdr_ce_search_plan.backup_before_nonblocking_queue_close_20260601_014256.csv
mdr_ce_evidence_candidates,archived_search_candidate_no_user_action,2587,5620,E:\shared\Documents\data\global_aesthetics_dashboard\data\mdr_ce_evidence_candidates.backup_before_nonblocking_queue_close_20260601_014256.jsonl
mdr_ce_evidence_candidates,policy_accepted_official_claim_no_number_required,1467,5620,E:\shared\Documents\data\global_aesthetics_dashboard\data\mdr_ce_evidence_candidates.backup_before_nonblocking_queue_close_20260601_014256.jsonl
mdr_ce_evidence_candidates,policy_archived_company_claim_candidate,1549,5620,E:\shared\Documents\data\global_aesthetics_dashboard\data\mdr_ce_evidence_candidates.backup_before_nonblocking_queue_close_20260601_014256.jsonl
mdr_ce_evidence_candidates,archived_secondary_or_nonofficial,17,5620,E:\shared\Documents\data\global_aesthetics_dashboard\data\mdr_ce_evidence_candidates.backup_before_nonblocking_queue_close_20260601_014256.jsonl
company_official_source_plan,closed,3677,3677,E:\shared\Documents\data\global_aesthetics_dashboard\data\company_official_source_plan.backup_before_nonblocking_queue_close_20260601_014256.csv
company_official_source_evidence,archived_secondary_or_nonofficial,5360,26975,E:\shared\Documents\data\global_aesthetics_dashboard\data\company_official_source_evidence.backup_before_nonblocking_queue_close_20260601_014256.jsonl
company_official_source_evidence,official_candidate_pool_indexed,21615,26975,E:\shared\Documents\data\global_aesthetics_dashboard\data\company_official_source_evidence.backup_before_nonblocking_queue_close_20260601_014256.jsonl
company_media_asset_index,unchanged,19045,23308,E:\shared\Documents\data\global_aesthetics_dashboard\data\company_media_asset_index.backup_before_nonblocking_queue_close_20260601_014256.csv
company_media_asset_index,closed_retry,4263,23308,E:\shared\Documents\data\global_aesthetics_dashboard\data\company_media_asset_index.backup_before_nonblocking_queue_close_20260601_014256.csv
