priority,gap_score,company,company_product_count,company_priority_rank,brand,standard_product_name,product_id,seed_record_id,product_family_ids,track,form,technology,material_or_energy,verification_status,source_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,spec_tier_A,spec_tier_B,spec_tier_C,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,evidence_mix,issues,recommended_next_action
P0,104,BTL,14,,EMTONE,RF + Mechanical Cellulite Treatment,prod_b2ff5bd02cc5,TOPLINE_BTL_EMTONE_20260530,pf_3ec90d1868ec,EBD,Radiofrequency,Radiofrequency + Targeted Pressure Energy,Radiofrequency + Targeted Pressure Energy,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,0,0,0,0,0,0,0,,,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company,Cross-check product existence and core positioning against official product page.
P0,98,Allergan,19,,Juvéderm Ultra Plus XC,HA Filler for Facial Wrinkles and Folds,prod_8f0762df3c65,TOPLINE_ALLERGAN_JUVEDERM_ULTRA_PLUS_XC_20260530,pf_facc82fc1828,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,11,4,7,0,0,0,0,,https://www.allerganaesthetics.com.au/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.
P0,98,Allergan,19,,Juvéderm Ultra XC,HA Filler for Lip Augmentation,prod_d4b991529f99,TOPLINE_ALLERGAN_JUVEDERM_ULTRA_XC_20260530,pf_141f225de1b8,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,6,5,1,0,0,0,0,,https://www.allerganaesthetics.com.au/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.
P0,98,Allergan,19,,Juvéderm Volbella XC,HA Filler for Lips and Undereye,prod_2ebb30c557be,TOPLINE_ALLERGAN_JUVEDERM_VOLBELLA_20260530,pf_233cd9e04acb,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,9,5,4,0,0,0,0,,http://juvederm.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.
P0,98,Allergan,19,,Juvéderm Vollure XC,HA Filler for Smile Lines,prod_006e5b2f46c8,TOPLINE_ALLERGAN_JUVEDERM_VOLLURE_20260530,pf_df53088e2760,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,5,5,0,0,0,0,0,,http://juvederm.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.
P0,98,Allergan,19,,REVOLVE,REVOLVE Advanced Adipose System,prod_2fe1895b624f,TOPLINE_ALLERGAN_REVOLVE_20260530,pf_1c2d3836824b,Surgical,Liposuction,Adipose Processing,Adipose Processing,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,12,10,2,0,0,0,0,,https://www.allerganaesthetics.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.
P0,98,Galderma,18,,Restylane Defyne,HA Filler for Deep Facial Folds,prod_93db7892de5b,TOPLINE_GALDERMA_RESTYLANE_DEFYNE_20260530,pf_8e362620bae5,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,0,0,12,11,1,0,0,0,0,,https://restylaneusa.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review A/B spec candidates and map useful rows to product/family; discard weak C rows.
P0,98,Galderma,18,,Restylane Kysse,HA Filler for Lips,prod_0ccb09310f48,TOPLINE_GALDERMA_RESTYLANE_KYSSE_20260530,pf_e717300ea4f7,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,2,0,12,1,11,0,0,0,0,https://www.galderma.com/us/sites/default/files/2022-06/Restylane_Kysse_e-IFU_US.pdf,https://restylaneusa.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
P0,98,Galderma,18,,Restylane Lyft,HA Filler for Cheeks and Hands,prod_6a5c0a95c13d,TOPLINE_GALDERMA_RESTYLANE_LYFT_20260530,pf_2475fb78df84,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,1,0,12,12,0,0,0,0,0,https://www.restylaneusa.com/docs/Restylane-Lyft-IFU,https://restylaneusa.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
P0,98,Galderma,18,,Restylane Refyne,HA Filler for Dynamic Facial Folds,prod_f855bda3a241,TOPLINE_GALDERMA_RESTYLANE_REFYNE_20260530,pf_7aca7b66b112,Injectables,Dermal Filler,Hyaluronic Acid Dermal Filler,Hyaluronic Acid Dermal Filler,unverified_seed,"seed_from_workbook, top_company_productline_official_verification",0,1,0,11,2,9,0,0,0,0,https://www.restylaneusa.com/product/restylane-refyne,https://restylaneusa.com/,,,master_unverified_seed | no_direct_official_product_or_family_url | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,Review fuzzy official product/catalog/IFU URL and attach it to product/family.
