priority,gap_score,company,company_product_count,company_priority_rank,brand,standard_product_name,product_id,seed_record_id,product_family_ids,track,form,technology,material_or_energy,verification_status,source_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,spec_tier_A,spec_tier_B,spec_tier_C,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,evidence_mix,issues,recommended_next_action
P0,78,Caregen,9,,Prostrolane Series,Peptide Dermal Filler,prod_d5cee00a7fe9,REC_0569,pf_7706cb949275,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,unverified_seed,seed_from_workbook,13,0,0,0,0,0,0,0,0,18,https://aestheticsrxpharma.co.uk/shop/prostrolane-inner-b-se-dermal-filler/,,https://cosmodirectsupply.com/prostrolane/,ce_notified_body_certificate:5,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P0,78,Medytox,8,,New Biju,Cholic Acid Lipolytic,prod_90e11f082f05,REC_0883,pf_56a0b41b7725,Injectables,Lipolytic,Lipolytic,Lipolytic,unverified_seed,seed_from_workbook,7,0,0,0,0,0,0,0,0,18,https://www.asiae.co.kr/en/article/2023121815474699090,,https://www.mk.co.kr/en/it/11424497,ce_notified_body_certificate:5,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator | priority_company | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P0,74,ABG Lab LLC,5,,Meso-Eye C71™,Specific Areas,prod_c234fc46acbf,REC_0438,pf_9013e3dc35c3,Injectables,Mesotherapy,Mesotherapy,Mesotherapy,unverified_seed,seed_from_workbook,6,0,0,0,0,0,0,0,0,0,https://abglab.com/aestheticsolutions/aesthetictreatments/mesoeyec71,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,ABG Lab LLC,5,,Meso-Genesis BP3™,Hair Restoration,prod_3caeadcff4c0,REC_0439,pf_79701322e058,Injectables,Mesotherapy,Mesotherapy,Mesotherapy,unverified_seed,seed_from_workbook,5,0,0,0,0,0,0,0,0,0,https://www.artbeauty.lv/en/service/bioreparacija-no-abg-lab-llc-laboratorijas-asv/,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,ABG Lab LLC,5,,Meso-Sculpt C71™,Specific Areas,prod_8e4c4a2135cd,REC_0447,pf_b622b024a7de,Injectables,Mesotherapy,Mesotherapy,Mesotherapy,unverified_seed,seed_from_workbook,8,0,0,0,0,0,0,0,0,0,https://abglab.com/aestheticsolutions/aesthetictreatments/mesosculptc71,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,ABG Lab LLC,5,,Meso-Wharton P199™,Anti-Aging & Regeneration,prod_0f21b463f349,REC_0448,pf_8d5b150f2d03,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,unverified_seed,seed_from_workbook,7,0,0,0,0,0,0,0,0,0,https://abglab.com/,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,Abio Materials,4,,BioExo-Water,植物外泌体原料,prod_5237f68ba525,REC_0077,pf_9626b8db98df,Regenerative,Exosome,Exosome,Exosome,unverified_seed,seed_from_workbook,11,0,0,0,0,0,0,0,0,0,https://a-biousa.com/,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,Advanced Aesthetic,4,,Algeness LD (1.0% Agarose),琼脂糖凝胶填充剂,prod_a9358fa5cc3f,REC_0026,pf_72bcda7b77d5,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,unverified_seed,seed_from_workbook,8,0,0,0,0,0,0,0,0,0,https://www.algeness.com/algeness-products-safe-subdermal-fillers.html,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,Alvi Prague,5,,Autonomy / F-Series,综合美容工作站,prod_63bb8b978ce1,REC_0058,pf_eb0184cf7d21,EBD,HIFU,LIPUS,LIPUS,unverified_seed,seed_from_workbook,14,0,0,0,0,0,0,0,0,0,https://alvi-prague.ae/about-us,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
P0,74,Alvi Prague,5,,DL-7000 Ultra Pulse,半导体脱毛激光,prod_a9a7cdbe4956,REC_0195,pf_ada76a16f31a,EBD,Laser,Diode Laser,Diode Laser,unverified_seed,seed_from_workbook,11,0,0,0,0,0,0,0,0,0,https://alvi-prague.ae/diode-lasers/,,,,master_unverified_seed | no_direct_spec_candidate | no_registration_evidence | no_official_indication | no_reviewed_differentiator,Cross-check product existence and core positioning against official product page.
