spec_id,fact_id,product_id,seed_record_id,company,brand,standard_product_name,field_name,field_value,source_url,promoted_at
spec_a0d59f827cc1,pfact_78a28e6175f4,prod_58d04fb61007,REC_0745,APS,Venusian CO2 Therapy,Carboxytherapy (卡波西/二氧化碳疗法),material_or_ingredient,composition: CO2,https://venusian.it/,2026-06-01T01:40:35+08:00
spec_718e51eb70e5,pfact_9d7d2678d391,prod_48d9e846b0fc,REC_0615,Across,Revolax,HA Dermal Fillers,dose_strength,dose_or_unit: 20mg,http://across2013.koreasme.com/,2026-06-01T01:40:35+08:00
spec_2e37d77530a9,pfact_d6fdf55b201a,prod_4832bea100ce,REC_0480,Aerolase,Neo Elite,1064nm Nd:YAG 激光,device_energy,energy_wavelength: 1064 nm,https://www.aerolase.com/plastic-surgery-laser-solutions,2026-06-01T01:40:35+08:00
spec_94a5ef0c492a,pfact_f999d336eeed,prod_4832bea100ce,REC_0480,Aerolase,Neo Elite,1064nm Nd:YAG 激光,device_energy,energy_wavelength: 1064nm,https://aerolase.com/,2026-06-01T01:40:35+08:00
spec_3c3b89ebaa31,pfact_608158908749,prod_4832bea100ce,REC_0480,Aerolase,Neo Elite,1064nm Nd:YAG 激光,device_energy,energy_wavelength: 2940 nm,https://www.aerolase.com/plastic-surgery-laser-solutions,2026-06-01T01:40:35+08:00
spec_4072a2e3d59f,pfact_d5ea67968953,prod_0a5bdf071d7b,REC_0241,Aerolase,Era Elite,2940nm Er:YAG 激光,device_energy,energy_wavelength: 1064 nm,https://www.aerolase.com/plastic-surgery-laser-solutions,2026-06-01T01:40:35+08:00
spec_54a0e7dac302,pfact_83d23465cac7,prod_0a5bdf071d7b,REC_0241,Aerolase,Era Elite,2940nm Er:YAG 激光,device_energy,energy_wavelength: 1064nm,https://www.aerolase.com/en-in/neo-era,2026-06-01T01:40:35+08:00
spec_7b054d48df3b,pfact_9d36b71eaa47,prod_0a5bdf071d7b,REC_0241,Aerolase,Era Elite,2940nm Er:YAG 激光,device_energy,energy_wavelength: 2940 nm,https://www.aerolase.com/plastic-surgery-laser-solutions,2026-06-01T01:40:35+08:00
spec_065bc3d41eb6,pfact_9962610d5143,prod_313ad848396d,REC_0799,Allergan,CoolTone,Magnetic Muscle Stimulation,commercial_certification,certification_claim: FDA CLEARED,https://www.cooltone.com/,2026-06-01T01:40:35+08:00
spec_240d3bb31dc5,pfact_e809137d0273,prod_5c8b3a5a2cc4,REC_0094,Allergan,BOTOX Cosmetic,Botulinum Toxin Type A (肉毒毒素),material_or_ingredient,composition: onabotulinumtoxinA,https://www.botoxcosmetic.com/,2026-06-01T01:40:35+08:00
spec_78ccf390c22f,pfact_d64c8937b4c0,prod_739853cc57c1,REC_0387,Allergan,Kybella / Belkyra,Deoxycholic Acid (脱氧胆酸),dose_strength,dose_or_unit: 10 mg,https://www.mykybella.com/what-is-kybella,2026-06-01T01:40:35+08:00
spec_73035e98ac72,pfact_f811d5ea14c4,prod_fe1881c6377d,REC_0847,Alma Lasers,Alma Hybrid,CO2 + Non-Ablative Dual Laser,commercial_certification,certification_claim: CE marked,https://almalasers.co.uk/product/alma-hybrid/,2026-06-01T01:40:35+08:00
spec_689fa1e1a2eb,pfact_835f7aae4e6f,prod_fe1881c6377d,REC_0847,Alma Lasers,Alma Hybrid,CO2 + Non-Ablative Dual Laser,device_energy,energy_wavelength: 1570 nm,https://lp.almalasers.com/,2026-06-01T01:40:35+08:00
spec_59eeccad04cc,pfact_8634855dca14,prod_fe1881c6377d,REC_0847,Alma Lasers,Alma Hybrid,CO2 + Non-Ablative Dual Laser,device_energy,energy_wavelength: 1570nm,https://almalasers.com/,2026-06-01T01:40:35+08:00
spec_9a25fb36432d,pfact_0183ad1ec6bc,prod_fe1881c6377d,REC_0847,Alma Lasers,Alma Hybrid,CO2 + Non-Ablative Dual Laser,device_energy,energy_wavelength: 600 nm,https://lp.almalasers.com/,2026-06-01T01:40:35+08:00
spec_18e793e52091,pfact_4181deb5b388,prod_fe1881c6377d,REC_0847,Alma Lasers,Alma Hybrid,CO2 + Non-Ablative Dual Laser,material_or_ingredient,composition: CO2,https://lp.almalasers.com/,2026-06-01T01:40:35+08:00
spec_fa8d6eec212c,pfact_cdeb143affd0,prod_b2c8abf17aa4,REC_0675,Alma Lasers,Soprano Titanium / Ice Platinum,半导体脱毛激光,device_energy,energy_wavelength: 1064nm,https://alma-soprano.nl/,2026-06-01T01:40:35+08:00
spec_16027d85bbdf,pfact_4c18ee8d6562,prod_b2c8abf17aa4,REC_0675,Alma Lasers,Soprano Titanium / Ice Platinum,半导体脱毛激光,device_energy,energy_wavelength: 755nm,https://alma-soprano.nl/,2026-06-01T01:40:35+08:00
