queue_id,priority,source_table,source_row_key,triage_bucket,product_id,seed_record_id,company_id,company,brand,jurisdiction,regulator,regulatory_pathway,status,registration_no,approval_date,registered_name,source_type,source_key,source_url,evidence_title,review_status,confidence,suggested_action,generated_at
registration-109,P1,registration_evidence,109,new_product_candidate_resolution,,,co_83052922054b,Alma Lasers,,US,FDA,510(k),Substantially Equivalent,K212073,2022-07-14,Alma Diode Tabletop Laser,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212073,K212073 · Alma Diode Tabletop Laser,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-308,P1,registration_evidence,308,new_product_candidate_resolution,,,co_bbabeba3ee10,Asclepion,,US,FDA,510(k),Substantially Equivalent,K060787,2006-09-27,TATTOOSTAR FAMILY,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K060787,K060787 · TATTOOSTAR FAMILY,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-311,P1,registration_evidence,311,new_product_candidate_resolution,,,co_bbabeba3ee10,Asclepion,,US,FDA,510(k),Substantially Equivalent,K060455,2006-03-20,MULTISTAR,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K060455,K060455 · MULTISTAR,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-313,P1,registration_evidence,313,new_product_candidate_resolution,,,co_bbabeba3ee10,Asclepion,,US,FDA,510(k),Substantially Equivalent,K231971,2023-09-26,DEKA PHYSIQ 360,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231971,K231971 · DEKA PHYSIQ 360,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-314,P1,registration_evidence,314,new_product_candidate_resolution,,,co_bbabeba3ee10,Asclepion,,US,FDA,510(k),Substantially Equivalent,K150516,2015-04-13,DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150516,K150516 · DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-315,P1,registration_evidence,315,new_product_candidate_resolution,,,co_bbabeba3ee10,Asclepion,,US,FDA,510(k),Substantially Equivalent,K233473,2024-05-16,DEKA LOTUS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233473,K233473 · DEKA LOTUS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-324,P1,registration_evidence,324,new_product_candidate_resolution,,,co_f8a69fb5e02a,Asclepion Laser,,US,FDA,510(k),Substantially Equivalent,K060787,2006-09-27,TATTOOSTAR FAMILY,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K060787,K060787 · TATTOOSTAR FAMILY,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-325,P1,registration_evidence,325,new_product_candidate_resolution,,,co_f8a69fb5e02a,Asclepion Laser,,US,FDA,510(k),Substantially Equivalent,K060455,2006-03-20,MULTISTAR,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K060455,K060455 · MULTISTAR,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-131,P1,registration_evidence,131,new_product_candidate_resolution,,,co_c1c0e6ddf44b,BTL,BTL,US,FDA,510(k),Substantially Equivalent,K143109,2015-03-06,XP300,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K143109,K143109 · XP300,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-132,P1,registration_evidence,132,new_product_candidate_resolution,,,co_c1c0e6ddf44b,BTL,BTL,US,FDA,510(k),Substantially Equivalent,K192224,2019-12-05,BTL-899,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K192224,K192224 · BTL-899,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-133,P1,registration_evidence,133,new_product_candidate_resolution,,,co_c1c0e6ddf44b,BTL,BTL,US,FDA,510(k),Substantially Equivalent,K202199,2021-01-26,BTL-899ST,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K202199,K202199 · BTL-899ST,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
