source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Abdominoplasty,,United Kingdom,2112,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Blepharoplasty,,United Kingdom,2481,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Brachioplasty,,United Kingdom,278,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Breast Augmentation,,United Kingdom,4702,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Breast Implant Removal,,United Kingdom,783,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Breast Reduction,,United Kingdom,3290,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Brow Lift,,United Kingdom,337,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Face/Neck Lift,,United Kingdom,1529,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Fat Transfer,,United Kingdom,1029,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
data\commercial_sources\geo_market_sources\uk_baaps_annual_audit\2020__pdf__2020-results-of-baaps-audit__30e5ef95.pdf,procedure_volume,Surgical procedures,Liposuction,,United Kingdom,1596,procedures,2020,BAAPS,2020 BAAPS Annual Audit Results,https://baaps.org.uk/_userfiles/pages/files/2020_audit_results_for_2021.pdf,BAAPS annual audit current-year surgical procedure count. Source-labeled UK association lane.,official_association_report_text_qa_surgical_only
