source_id,phase,source_name,source_family,source_url,access_model,authority_tier,kpi_families,geo_grain,time_grain,segment_grain,fields_available,extraction_method,target_dataset,refresh_cadence,implementation_status,priority,notes
isaps_global_survey,1,ISAPS Global Survey,official_association_statistics,https://www.isaps.org/discover/about-isaps/global-statistics/,public_pdf,official_association,"treatment_volume;surgeon_count;medical_tourism;facility_mix","global;country",year,"procedure_group;procedure","surgical procedures;non-surgical procedures;injectables;country totals;estimated surgeons;medical tourism;facility setting",pdf_table_extraction_with_manual_qa,commercial_procedure_metrics,annual,current_2020_2024_backbone_live,1,"Primary global country-year-procedure backbone. Current project has 2020-2024 live; pre-2020 is optional if official PDFs are readily available, not a blocker."
asps_plastic_surgery_statistics,1,American Society of Plastic Surgeons Plastic Surgery Statistics,official_association_statistics,https://www.plasticsurgery.org/news/plastic-surgery-statistics,public_html_pdf,official_association,"treatment_volume;average_fee;regional_distribution;age_gender_mix","USA;US_region",year,"procedure_group;procedure","cosmetic surgery procedures;minimally invasive procedures;regional distribution;average fees;patient age;gender",pdf_and_html_table_extraction,commercial_procedure_metrics,annual,partial_live_2024_procedure_trends,2,"US deep-dive companion to ISAPS. ASPS 2024 procedure trend rows are live in data/asps_market_metrics.csv; average fee, regional, age/gender PDFs are downloaded for follow-up extraction. Do not merge with global ISAPS totals without source label."
aesthetic_society_statistics,1,The Aesthetic Society Procedural Statistics,official_association_statistics,https://www.theaestheticsociety.org/media/procedural-statistics,public_html_pdf,official_association,"treatment_volume;billing_proxy;procedure_mix","USA",year,"procedure_group;procedure","surgical procedure counts;non-surgical categories where available;billing/value notes where reported",pdf_table_extraction_with_source_label,commercial_procedure_metrics,annual,planned,3,"Useful for US private-practice aesthetic surgery and billing context. Keep separate from ASPS because methodology differs."
uk_baaps_annual_audit,1,BAAPS Annual Audit Results,official_association_statistics,https://baaps.org.uk/baaps_annual_audit_results_.aspx,public_html_pdf,official_association,"treatment_volume;procedure_mix","United Kingdom",year,procedure,"cosmetic surgery audit results by procedure;annual PDFs for 2020-2025 discovered",pdf_table_extraction_with_source_label,commercial_procedure_metrics,annual,source_pdfs_acquired,4,"High-value UK country-level companion to ISAPS. Keep BAAPS audit coverage and methodology source-labeled; do not merge silently with ISAPS UK totals."
germany_dgaepc_statistics,1,DGÄPC Statistics,official_association_statistics,https://www.dgaepc.de/aktuelles/dgaepc-statistik/,public_html_pdf,official_association,"procedure_mix;treatment_volume_candidate;patient_demographics","Germany",year,"procedure;survey_dimension","annual DGÄPC statistics PDFs; procedure rankings or survey shares depending on year",pdf_table_extraction_with_metric_qa,commercial_procedure_metrics,annual,source_pdfs_acquired_metric_qa_needed,5,"Useful German country-level source, but first verify which tables are counts versus survey percentages before loading to market_metrics."
brazil_sbcp_pesquisas_censo,1,SBCP Pesquisas and Censo Publications,official_association_statistics,https://www.cirurgiaplastica.org.br/pesquisas/,public_html_flipbook_pdf,official_association,"treatment_volume_candidate;surgeon_demography;procedure_mix","Brazil",report_year_or_publication_year,"procedure;surgeon_demography;association_research","SBCP pesquisas page;2025 demography/censo flipbook;historical censo and ISAPS links",flipbook_or_pdf_extraction_with_metric_qa,commercial_procedure_metrics,annual_or_irregular,source_page_discovered_metric_qa_needed,6,"Brazil association research source. The 2025 flipbook needs structure QA before deciding whether it contributes treatment-volume rows or only surgeon/demography context."
spain_secpre_aesthetic_surgery_report,1,SECPRE Aesthetic Surgery Reality in Spain Report,official_association_statistics,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,public_pdf,official_association,"treatment_volume_candidate;procedure_mix;patient_demographics",Spain,report_year,"procedure;patient_segment","aesthetic surgery report tables;procedure and patient mix where extractable",pdf_table_extraction_with_metric_qa,commercial_procedure_metrics,irregular,source_pdf_acquired_metric_qa_needed,7,"High-value Spain candidate. Load only count-like metrics after table QA and keep SECPRE methodology source-labeled."
italy_aicpe_observatory_statistics,1,AICPE Observatory and Statistics,official_association_statistics,https://www.aicpe.org/2022/02/comunicato-stampa-osservatorio-aicpe-come-ha-inciso-la-pandemia-sui-numeri-della-chirurgia-plastica-estetica/,public_html,official_association,"treatment_volume_candidate;procedure_mix;association_context",Italy,report_year_or_publication_year,"procedure;procedure_group","Italy procedure totals;procedure ranking commentary;AICPE statistics archive links",html_claim_extraction_with_metric_qa,commercial_procedure_metrics,irregular,source_page_discovered_metric_qa_needed,8,"AICPE reports Italy 2020 and 2019 procedure totals on the observatory page. Treat as candidate treatment rows until methodology QA is complete."
italy_sicpre_isaps_statistics,1,SICPRE ISAPS Report Commentary,official_association_statistics_commentary,https://www.sicpre.it/report-2023-isaps-le-procedure-non-invasive-guidano-la-crescita-mondiale/,public_html_pdf,official_association,"treatment_volume_secondary;procedure_mix;association_context",Italy,report_year,"procedure_group;country_total","Italian association commentary on ISAPS 2023 and links to primary report",html_pdf_claim_extraction_with_source_label,commercial_procedure_metrics,annual,source_page_discovered_secondary_isaps,9,"Secondary national association commentary on ISAPS. Use for triage and source discovery while keeping primary extraction tied to ISAPS PDFs."
sec_edgar_companyfacts,2,SEC EDGAR Companyfacts,official_filing_api,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,public_api,official_regulator,"company_revenue;growth;gross_margin;net_income;equity;eps;valuation_join","company",fiscal_year,"company_total;segment_when_filed","XBRL company facts;10-K/10-Q submissions;revenue;gross profit;net income;equity;EPS",api_xbrl_extraction,company_financial_metrics,annual_quarterly,partial_live,1,"Already used for several US-listed companies. Next step is separating aesthetic segment revenue from total company revenue where filings disclose segments."
