company,company_slug,status,web_path,output_path,source_asset_id,source_role,source_scope,source_page_url,source_url,source_local_path,source_ext,source_width,source_height,background_status,display_status,display_reason,notes,generated_at
1st SurgiConcept,1st-surgiconcept,ok,./assets/company_logos/1st-surgiconcept.png,web\assets\company_logos\1st-surgiconcept.png,asset_a5e94a5e1388,favicon_or_touch_icon,operating_company,https://beyondmedicalaesthetics.uk/,https://beyondmedicalaesthetics.uk/wp-content/uploads/2023/01/cropped-Beyond-medical-aesthetics-icon-192x192.png,assets\official_media\operating_company\1st_surgiconcept\logo\logo_candidate_65b6e008b2.png,.png,192,192,alpha_preserved,candidate_hidden,source_does_not_match_company_identity,asset_b9a7a4153760:unsupported_extension:.svg; asset_5486d2073133:unsupported_extension:.svg; asset_bd95a6a019e5:unsupported_extension:.svg,2026-05-23T01:25:45
54gene,54gene,ok,./assets/company_logos/54gene.png,web\assets\company_logos\54gene.png,asset_a82f9ab9ad7f,operating_company_logo_img,operating_company,https://www.cbinsights.com/company/54gene,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/59745cf1-4630-449f-96f6-82c8a42e4c75.png?w=3840,assets\official_media\operating_company\54gene\logo\logo_candidate_45b4ee9cf9.png,.png,1000,246,light_background_removed,candidate_hidden,blocked_third_party_or_media_logo_hint,asset_c8d7b78dc6f7:unsupported_extension:.svg; asset_2bbf8f597b84:unsupported_extension:.svg; asset_19bfee055810:unsupported_extension:.svg,2026-05-23T01:25:45
A.A.M.S.,a-a-m-s,ok,./assets/company_logos/a-a-m-s.png,web\assets\company_logos\a-a-m-s.png,asset_a92c8a46135a,favicon_or_touch_icon,operating_company,https://aamsworld.com/,https://aamsworld.com/wp-content/uploads/2025/02/cropped-logo_carre_aams-192x192.webp,assets\official_media\operating_company\a_a_m_s\logo\logo_candidate_3446724573.webp,.webp,192,192,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
ABG Lab LLC,abg-lab-llc,ok,./assets/company_logos/abg-lab-llc.png,web\assets\company_logos\abg-lab-llc.png,asset_60f80244fee9,favicon_or_touch_icon,operating_company,https://abglab.com/,https://cdn.prod.website-files.com/68019249baf51502dd148c10/6849a43dc7e9ca539f20eb8f_webclip%20abg.png,assets\official_media\operating_company\abg_lab_llc\logo\logo_candidate_f87afc5062.png,.png,256,256,alpha_preserved,trusted_display,company_identity_match,asset_7444b6140af9:unsupported_extension:.svg; asset_3e80b16c1e03:unsupported_extension:.svg,2026-05-23T01:25:45
Abio Materials,abio-materials,ok,./assets/company_logos/abio-materials.png,web\assets\company_logos\abio-materials.png,asset_a63671f56641,favicon_or_touch_icon,operating_company,https://anabio.co.kr/,https://anabio.co.kr/wp-content/uploads/2024/05/cropped-favicon-192x192.png,assets\official_media\operating_company\abio_materials\logo\logo_candidate_d2feec98ba.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_6f950e547a12:UnidentifiedImageError; asset_629686265370:unsupported_extension:.svg; asset_dc8448813158:UnidentifiedImageError; asset_e8a5e53dd42c:UnidentifiedImageError; asset_6670df0dc56d:unsupported_extension:.svg,2026-05-23T01:25:45
Across,across,ok,./assets/company_logos/across.png,web\assets\company_logos\across.png,asset_132bac5da260,favicon_or_touch_icon,operating_company,http://www.across.kr/eng/sub/sub02_05.php,http://www.across.kr/images/favicon.ico,assets\official_media\operating_company\across\logo\logo_candidate_bbd1e25929.ico,.ico,16,16,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
Adoderm,adoderm,ok,./assets/company_logos/adoderm.png,web\assets\company_logos\adoderm.png,asset_9ff394a55883,operating_company_logo_img,operating_company,https://www.hyabell.com/,"https://static.wixstatic.com/media/01d397_8c8b8bec451e43488003a1044a802e36~mv2.png/v1/fill/w_198,h_59,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/20051027%20Adoderm%20Logo.png",assets\official_media\operating_company\adoderm\logo\logo_candidate_7a53ceccd7.png,.png,198,59,alpha_preserved,trusted_display,company_identity_match,asset_48d5a1c42006:unsupported_extension:.svg; asset_e7b697a55cb1:unsupported_extension:.svg; asset_124ab8625c3f:unsupported_extension:.svg,2026-05-23T01:25:45
Advance Esthetic,advance-esthetic,ok,./assets/company_logos/advance-esthetic.png,web\assets\company_logos\advance-esthetic.png,asset_3f9c8e336046,favicon_or_touch_icon,operating_company,https://advance-beauty.com/,https://advance-beauty.com/wp-content/uploads/2020/05/cropped-favicon-300x300.png,assets\official_media\operating_company\advance_esthetic\logo\logo_candidate_d7179cde27.png,.png,300,300,alpha_preserved,trusted_display,company_identity_match,asset_0cd64725b4f9:unsupported_extension:.svg; asset_af8f0b44cb72:unsupported_extension:.svg; asset_e6e3ca688bf4:unsupported_extension:.svg; asset_a09c31c7f6fc:unsupported_extension:.svg; asset_2ee82cd49282:unsupported_extension:.svg,2026-05-23T01:25:45
Advanced Aesthetic,advanced-aesthetic,ok,./assets/company_logos/advanced-aesthetic.png,web\assets\company_logos\advanced-aesthetic.png,asset_3ff5fda7fcad,favicon_or_touch_icon,operating_company,https://advancedaestheticslv.com/,https://advancedaestheticslv.com/wp-content/uploads/2026/01/favicon-300x300.webp,assets\official_media\operating_company\advanced_aesthetic\logo\logo_candidate_498109c890.webp,.webp,300,300,alpha_preserved,trusted_display,company_identity_match,asset_136468c8599d:unsupported_extension:.svg,2026-05-23T01:25:45
Aerolase,aerolase,ok,./assets/company_logos/aerolase.png,web\assets\company_logos\aerolase.png,asset_3fe999f54f31,operating_company_logo_img,operating_company,https://aerolase.com/,https://cdn.prod.website-files.com/676e995b809fecee0d7aa8fc/6799f6d6bdd790a182f665d0_stanford-gray.avif,assets\official_media\operating_company\aerolase\logo\logo_candidate_2e3dd11f7f.avif,.avif,180,54,alpha_preserved,trusted_display,company_identity_match,asset_9e249aa9b6f8:unsupported_extension:.svg; asset_bbe79bbbc9f1:unsupported_extension:.svg,2026-05-23T01:25:45
Agnes Medical,agnes-medical,ok,./assets/company_logos/agnes-medical.png,web\assets\company_logos\agnes-medical.png,asset_5e88684d8b2e,favicon_or_touch_icon,operating_company,https://agnesmedical.shop/,https://agnesmedical.shop/favicon.png,assets\official_media\operating_company\agnes_medical\logo\logo_candidate_bfe79e16ad.png,.png,512,512,alpha_preserved,trusted_display,company_identity_match,asset_4fddcc19f885:unsupported_extension:.svg,2026-05-23T01:25:45
Allergan,allergan,ok,./assets/company_logos/allergan.png,web\assets\company_logos\allergan.png,asset_bb51e7770bcf,favicon_or_touch_icon,operating_company,https://www.allerganbrandbox.com/,https://www.allerganbrandbox.com/wp-content/uploads/2023/04/cropped-favicon-192x192.png,assets\official_media\operating_company\allergan\logo\logo_candidate_955609fec7.png,.png,192,192,alpha_preserved,trusted_display,company_identity_match,asset_3d3de3416c18:unsupported_extension:.svg; asset_945af36432e8:unsupported_extension:.svg; asset_c4f4fe1f1262:unsupported_extension:.svg; asset_d4ce3d4f6c26:unsupported_extension:.svg; asset_b80c23266153:unsupported_extension:.svg,2026-05-23T01:25:45
Alma Lasers,alma-lasers,ok,./assets/company_logos/alma-lasers.png,web\assets\company_logos\alma-lasers.png,asset_e000bcd268da,operating_company_logo_img,operating_company,https://almalasers.kz/,https://almalasers.kz/upload/medialibrary/fa6/almalogo.jpeg,assets\official_media\operating_company\alma_lasers\logo\logo_candidate_da0dd8be8e.jpg,.jpg,1280,506,light_background_removed,trusted_display,company_identity_match,asset_208a790f8713:unsupported_extension:.svg; asset_758f78dcda36:unsupported_extension:.svg; asset_31d3c5dae1b6:unsupported_extension:.svg; asset_b1c69f0bef5a:unsupported_extension:.svg; asset_65316132fe6d:unsupported_extension:.svg,2026-05-23T01:25:45
Alta Care,alta-care,ok,./assets/company_logos/alta-care.png,web\assets\company_logos\alta-care.png,asset_cc047c3231ff,operating_company_logo_img,operating_company,https://derma-st.com.ua/,https://derma-st.com.ua/wp-content/uploads/2018/09/cropped-Dermastir-alta-care-logo.png,assets\official_media\operating_company\alta_care\logo\logo_candidate_9840c470bb.png,.png,1366,408,alpha_preserved,trusted_display,company_identity_match,,2026-05-23T01:25:45
