source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Total aesthetic surgery interventions,,Spain,204510,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 total aesthetic surgery interventions in Spain, surgical-only count. Percent column in source table: 100%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,,Spain,107540,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 grouped aesthetic surgery intervention count. Percent column in source table: 52,6. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,Aumento de mamas con implante,Spain,56521,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 27,6%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,Aumento de mamas con grasa autologa,Spain,1157,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 0,6%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,Elevacion de mamas,Spain,16300,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 8,0%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,Aumento + elevacion de mamas,Spain,14484,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 7,1%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,Reduccion de mamas,Spain,13267,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 6,5%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la mama,Ginecomastia,Spain,5811,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 2,8%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la cabeza,,Spain,48442,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 grouped aesthetic surgery intervention count. Percent column in source table: 23,7%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
data\commercial_sources\geo_market_sources\spain_secpre_aesthetic_surgery_report\unknown-year__pdf__secpre-aesthetic-surgery-reality-in-spain-report__765a793c.pdf,procedure_volume,Surgical procedures,Cirugia de la cabeza,Blefaroplastia,Spain,21787,procedures,2021,SECPRE,La realidad de la cirugia estetica en Espana. 2022,https://portalsecpre.org/images/noticias/Informe%20SECPRE_IMOP%202022%20prensa.pdf,"SECPRE Table 1 procedure-level aesthetic surgery intervention count. Percent column in source table: 10,7%. Keep as Spain surgical-only association lane; do not merge silently with ISAPS total procedures. Use the source-reported total row as authoritative; grouped/subprocedure rows are not used to recalculate the total.",official_association_report_manual_qa_surgical_only
