source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,All procedures,Local survey total procedures,,Japan,1484161,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Local survey total surgical procedures,,Japan,232479,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Face and Head,,Japan,203967,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Breast,,Japan,9395,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Body and Extremities,,Japan,19117,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Non-surgical procedures,Local survey total non-surgical procedures,,Japan,1251682,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Local survey total injectables,,Japan,310136,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Facial rejuvenation,Local survey total facial rejuvenation,,Japan,432507,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Other non-surgical,Local survey total other non-surgical,,Japan,509039,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Thread Lift,,Japan,18860,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Eyelid Surgery,,Japan,106008,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Surgical procedures,Liposuction,,Japan,8467,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Botulinum Toxin,,Japan,206634,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Axillary odor non-surgical treatment,,Japan,26570,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Calcium Hydroxylapatite,,Japan,471,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Hyaluronic Acid,,Japan,66712,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Breast HA augmentation,,Japan,2131,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Collagen,,Japan,1145,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Poly-L-Lactic Acid,,Japan,4,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
