source_year,data_year,source_file,source_url,page,table_index,table_name,metric_family,record_role,procedure_type,procedure_group,procedure,geo,dimension_type,dimension,metric_name,rank,value,value_text,unit,percent,percent_of_total,compare_to_year,note,series_key,row_hash
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,current,surgical,,Breast Augmentation,Global,,,procedure volume,1,1624281,"1,624,281",procedures,,16.0,,,procedure_volume|surgical||Breast Augmentation|Global|||procedure volume|procedures,8c5a9f4abf936a64
2020,2019,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,comparator,surgical,,Breast Augmentation,Global,,,procedure volume,1,1795551,"1,795,551",procedures,,,,Comparator column in 2020 report.,procedure_volume|surgical||Breast Augmentation|Global|||procedure volume|procedures,1e5309ad1c3475c9
2020,2016,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,comparator,surgical,,Breast Augmentation,Global,,,procedure volume,1,1649271,"1,649,271",procedures,,,,Comparator column in 2020 report.,procedure_volume|surgical||Breast Augmentation|Global|||procedure volume|procedures,78954e8b52709aed
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_percent_change,percent_change,surgical,,Breast Augmentation,Global,,,percent change,1,-9.5,-9.5%,percent_change,,,2019,,procedure_percent_change|surgical||Breast Augmentation|Global|||percent change|percent_change,91ff814b291b1ef8
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_percent_change,percent_change,surgical,,Breast Augmentation,Global,,,percent change,1,-1.5,-1.5%,percent_change,,,2016,,procedure_percent_change|surgical||Breast Augmentation|Global|||percent change|percent_change,01d1a76392e87a00
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,current,surgical,,Liposuction,Global,,,procedure volume,2,1525197,"1,525,197",procedures,,15.1,,,procedure_volume|surgical||Liposuction|Global|||procedure volume|procedures,55b10582095ebfd6
2020,2019,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,comparator,surgical,,Liposuction,Global,,,procedure volume,2,1704786,"1,704,786",procedures,,,,Comparator column in 2020 report.,procedure_volume|surgical||Liposuction|Global|||procedure volume|procedures,3182f1de18bd2298
2020,2016,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,comparator,surgical,,Liposuction,Global,,,procedure volume,2,1453340,"1,453,340",procedures,,,,Comparator column in 2020 report.,procedure_volume|surgical||Liposuction|Global|||procedure volume|procedures,a21448aa5696e3f4
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_percent_change,percent_change,surgical,,Liposuction,Global,,,percent change,2,-10.5,-10.5%,percent_change,,,2019,,procedure_percent_change|surgical||Liposuction|Global|||percent change|percent_change,9d181e5dd97228a9
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_percent_change,percent_change,surgical,,Liposuction,Global,,,percent change,2,4.9,4.9%,percent_change,,,2016,,procedure_percent_change|surgical||Liposuction|Global|||percent change|percent_change,676d742cf9a7da74
2020,2020,E:\shared\行业报告\2020isaps-global-survey.pdf,https://www.isaps.org/media/dzjfg50s/isaps-global-survey_2020.pdf,9,1,worldwide_ranked_procedures,procedure_volume,current,surgical,,Eyelid Surgery,Global,,,procedure volume,3,1225540,"1,225,540",procedures,,12.1,,,procedure_volume|surgical||Eyelid Surgery|Global|||procedure volume|procedures,1ad93371d9ac4ce6
