series_key,metric_family,procedure_type,procedure_group,procedure,geo,dimension_type,dimension,metric_name,unit,year_count,years,missing_2020_2024,comparability_class,note
additional_statistics||||Bangladesh|ARE YOU CURRENTLY A MEMBER OF ISAPS?|No|ARE YOU CURRENTLY A MEMBER OF ISAPS? - No|percent,additional_statistics,,,,Bangladesh,ARE YOU CURRENTLY A MEMBER OF ISAPS?,No,ARE YOU CURRENTLY A MEMBER OF ISAPS? - No,percent,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||Bangladesh|ARE YOU CURRENTLY A MEMBER OF ISAPS?|Yes|ARE YOU CURRENTLY A MEMBER OF ISAPS? - Yes|percent,additional_statistics,,,,Bangladesh,ARE YOU CURRENTLY A MEMBER OF ISAPS?,Yes,ARE YOU CURRENTLY A MEMBER OF ISAPS? - Yes,percent,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||Bangladesh|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?|Average|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Average|value,additional_statistics,,,,Bangladesh,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?,Average,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Average,value,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||Bangladesh|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?|Median|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Median|value,additional_statistics,,,,Bangladesh,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?,Median,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Median,value,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||Bangladesh|WHAT IS YOUR GENDER?|Female|WHAT IS YOUR GENDER? - Female|percent,additional_statistics,,,,Bangladesh,WHAT IS YOUR GENDER?,Female,WHAT IS YOUR GENDER? - Female,percent,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||Bangladesh|WHAT IS YOUR GENDER?|Male|WHAT IS YOUR GENDER? - Male|percent,additional_statistics,,,,Bangladesh,WHAT IS YOUR GENDER?,Male,WHAT IS YOUR GENDER? - Male,percent,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||France|ARE YOU CURRENTLY A MEMBER OF ISAPS?|No|ARE YOU CURRENTLY A MEMBER OF ISAPS? - No|percent,additional_statistics,,,,France,ARE YOU CURRENTLY A MEMBER OF ISAPS?,No,ARE YOU CURRENTLY A MEMBER OF ISAPS? - No,percent,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||France|ARE YOU CURRENTLY A MEMBER OF ISAPS?|Yes|ARE YOU CURRENTLY A MEMBER OF ISAPS? - Yes|percent,additional_statistics,,,,France,ARE YOU CURRENTLY A MEMBER OF ISAPS?,Yes,ARE YOU CURRENTLY A MEMBER OF ISAPS? - Yes,percent,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||France|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?|Average|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Average|value,additional_statistics,,,,France,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?,Average,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Average,value,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
additional_statistics||||France|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?|Median|HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Median|value,additional_statistics,,,,France,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE?,Median,HOW MANY YEARS HAVE YOU BEEN IN PRACTICE? - Median,value,2,"2023,2024","2020,2021,2022",stage_2yr,"Only two report-year observations; useful for stage comparison, not a stable trend."
